count_point_id,year,count,poi,slope
6000,2000,0.0,,0.0
6000,2001,0.0,,0.0
6000,2002,0.0,,0.0
6000,2003,0.0,,0.0
6000,2004,0.0,,0.0
6000,2005,0.0,,0.0
6000,2006,0.0,,0.0
6000,2007,0.0,,0.0
6000,2008,0.0,0.0,0.0
6000,2009,0.0,0.0,0.0
6000,2010,0.0,2.0,0.0
6000,2011,0.0,3.0,0.0
6000,2012,0.0,3.0,0.0
6000,2013,0.0,4.0,0.0
6000,2014,0.0,4.0,0.0
6000,2015,0.0,4.0,0.0
6000,2016,0.0,3.0,0.0
6000,2017,0.0,3.0,0.0
6000,2018,0.0,2.0,0.0
6000,2019,0.0,2.0,0.0
6000,2020,0.0,2.0,0.0
6001,2000,0.0,,0.0
6001,2001,0.0,,0.0
6001,2002,0.0,,0.0
6001,2003,0.0,,0.0
6001,2004,0.0,,0.0
6001,2005,0.0,,0.0
6001,2006,0.0,,0.0
6001,2007,0.0,,0.0
6001,2008,0.0,0.0,0.0
6001,2009,0.0,0.0,0.0
6001,2010,0.0,0.0,0.0
6001,2011,0.0,1.0,0.0
6001,2012,0.0,1.0,0.0
6001,2013,0.0,1.0,0.0
6001,2014,0.0,1.0,0.0
6001,2015,0.0,1.0,0.0
6001,2016,0.0,1.0,0.0
6001,2017,0.0,1.0,0.0
6001,2018,0.0,1.0,0.0
6001,2019,0.0,1.0,0.0
6001,2020,0.0,1.0,0.0
6013,2000,0.0,,0.0
6013,2001,0.0,,0.0
6013,2002,0.0,,0.0
6013,2003,0.0,,0.0
6013,2004,0.0,,0.0
6013,2005,0.0,,0.0
6013,2006,0.0,,0.0
6013,2007,0.0,,0.0
6013,2008,0.0,2.0,0.0
6013,2009,0.0,3.0,0.0
6013,2010,0.0,5.0,0.0
6013,2011,0.0,4.0,0.0
6013,2012,0.0,5.0,0.0
6013,2013,0.0,5.0,0.0
6013,2014,0.0,5.0,0.0
6013,2015,0.0,5.0,0.0
6013,2016,0.0,5.0,0.0
6013,2017,0.0,5.0,0.0
6013,2018,0.0,5.0,0.0
6013,2019,0.0,6.0,0.0
6013,2020,0.0,7.0,0.0
6071,2000,30.0,,0.0
6071,2001,31.0,,0.0
6071,2002,50.0,,0.0
6071,2003,21.0,,0.0
6071,2004,55.0,,0.0
6071,2005,70.0,,0.0
6071,2006,91.0,,0.0
6071,2007,90.0,,0.0
6071,2008,47.0,0.0,0.0
6071,2009,47.0,6.0,0.0
6071,2010,39.0,7.0,0.0
6071,2011,7.0,11.0,0.0
6071,2012,0.0,11.0,0.0
6071,2013,5.0,10.0,0.0
6071,2014,32.0,10.0,0.0
6071,2015,48.0,10.0,0.0
6071,2016,113.0,13.0,0.0
6071,2017,112.0,13.0,0.0
6071,2018,111.0,11.0,0.0
6071,2019,103.0,13.0,0.0
6071,2020,162.0,13.0,0.0
6075,2000,468.0,,0.0
6075,2001,533.0,,0.0
6075,2002,543.0,,0.0
6075,2003,634.0,,0.0
6075,2004,671.0,,0.0
6075,2005,867.0,,0.0
6075,2006,1125.0,,0.0
6075,2007,1421.0,,0.0
