"variable","point_estimate","p_value"
count_point_id,-0.0316391854709667,NaN
IMD_score,-0.0332526274432333,1.97712038591354e-77
ss_curb,-0.0359502775222592,5.65878482397183e-90
ss_vegetation,-0.0368793834272888,3.80635422524298e-93
ss_sidewalk,-0.0360733978919742,1.07878493351629e-90
ss_street_light,-0.0360793907625179,1.12194500590866e-90
ss_guard_rail,-0.0356762699891384,1.98463990552003e-90
ss_parking,-0.036130294323867,6.24827328363126e-91
ss_bike_lane,-0.0355090533386346,NA
ss_curb_cut,-0.0357785309502595,2.14247770371945e-89
ss_pothole,-0.0360963721616728,1.01884079637495e-90
ss_bike_rack,-0.0361516267101837,NA
ss_pedestrian_area,-0.036076349449711,1.24791482638668e-90
ss_bench,-0.0360614542924845,1.3123116777668e-90
ss_visual_complexity,-0.0362086116933691,4.79685443009681e-92
ss_construction,-0.0376740640385742,3.43636453747311e-101
ss_road_flat,-0.0369670087284988,7.99348110504955e-95
ss_marking,-0.0345795279943097,2.26600832056005e-83
ss_nature,-0.0362209471955629,2.05220486073901e-91
ss_street_object,-0.0357131113697935,2.46925093823018e-89
od_person_count,-0.037785330416739,4.71510481028585e-102
od_bicycle_count,-0.0344789269633935,1.36208553060591e-85
od_vehicle_count,-0.035250570541586,1.02422496953831e-86
od_animal_count,-0.0360682034164107,1.34131732461734e-90
pop_den_log,-0.0349514857137959,8.43085532906323e-88
housing_price_log,-0.0447545145158904,1.69620238969465e-165
poi_log,-0.0411026594086412,1.05083623083151e-158
