"variable","point_estimate","p_value"
IMD_score,-0.35073365886603,3.84013207469237e-49
ss_visual_complexity,-0.403933418719719,1.16975995685074e-64
ss_construction,-0.429125357847725,2.00650459808926e-73
ss_road_flat,-0.418392297916306,4.7870396506199e-69
ss_marking,-0.371754719634025,6.78523586449229e-56
ss_nature,-0.400926892486264,1.49444928616972e-63
ss_street_object,-0.397792134829796,1.61256880149773e-62
od_person_count,-0.437179949377088,2.73405707951428e-76
od_bicycle_count,-0.392429172232999,1.12030851522539e-62
od_vehicle_count,-0.387590614169514,9.64451767290452e-60
od_animal_count,-0.401174166918158,1.48586032650629e-63
pop_den_log,-0.397342459889059,5.50044925656669e-64
housing_price_log,-0.534829778476858,2.42490537552026e-119
poi_log,-0.520443922645809,2.31757736618049e-128
