"variable","point_estimate","p_value"
IMD_score,-0.360078337554231,1.25632363223376e-56
ss_visual_complexity,-0.411039454395612,4.72024609581872e-75
slope,-0.158504197682931,6.04945986609827e-06
ss_construction,-0.436817026811325,3.83589180830237e-84
ss_road_flat,-0.421865414339939,2.59112446780769e-78
ss_marking,-0.380779730206758,2.54608821341748e-65
ss_nature,-0.409738851360254,4.40667867935464e-74
ss_street_object,-0.405975666633133,7.75552077014524e-73
od_person_count,-0.440452431542325,2.94374861694395e-86
od_bicycle_count,-0.400808690115117,3.12364833018613e-73
od_vehicle_count,-0.393110136975438,6.32012451493611e-69
od_animal_count,-0.409803046492955,4.50558953561124e-74
pop_den_log,-0.404775016258392,2.55370412246382e-74
housing_price_log,-0.539167190762996,2.1354665748747e-137
poi_log,-0.526148123165616,3.53584174333408e-149
