"estimate","std.err","covariate","category"
"-0.504745223103072","0.145812876806231","IMD_score","0-33%"
"-0.0111670938244709","0.136873984149134","IMD_score","33-66%"
"0.0727911889343094","0.145601021708406","IMD_score","66-100%"
"-0.247157796352309","0.13536983513591","age_0_19","0-33%"
"-0.145450435420024","0.157163516555857","age_0_19","33-66%"
"-0.105215089172183","0.138463132356164","age_0_19","66-100%"
"-0.485099827269394","0.149041335717926","age_20_39","0-33%"
"-0.000175093443034784","0.155952385025366","age_20_39","33-66%"
"-0.0762515256190114","0.128650166403038","age_20_39","66-100%"
"0.066526056783266","0.137326483026028","age_40_59","0-33%"
"0.107072634737317","0.152920491584218","age_40_59","33-66%"
"-0.600285827940103","0.147887064794208","age_40_59","66-100%"
"-0.156896510524097","0.159502534941905","lu_residential_community","0-33%"
"-0.018250391682031","0.14242506342992","lu_residential_community","33-66%"
"-0.304301273269582","0.130536679204456","lu_residential_community","66-100%"
"-0.190906046419946","0.140572574191518","lu_commerce_developed","0-33%"
"0.0492140675420666","0.143885872364499","lu_commerce_developed","33-66%"
"-0.521889672302733","0.148939302073124","lu_commerce_developed","66-100%"
"-0.11827509021122","0.154166703035511","ss_visual_complexity","0-33%"
"-0.218315676516631","0.140388336900526","ss_visual_complexity","33-66%"
"-0.251623989275722","0.154309625328701","ss_visual_complexity","66-100%"
"-0.18014205243464","0.14402179213016","ss_construction","0-33%"
"-0.116487714954164","0.155694198347933","ss_construction","33-66%"
"-0.285823501128605","0.141278929762228","ss_construction","66-100%"
"-0.109741316812556","0.140007962778518","ss_road_flat","0-33%"
"-0.222947928639402","0.148142892650378","ss_road_flat","33-66%"
"-0.193661949853333","0.15636998625261","ss_road_flat","66-100%"
"-0.219347333354875","0.141303728123165","ss_marking","0-33%"
"-0.193351805549844","0.156429549674796","ss_marking","33-66%"
"-0.00591338503407903","0.137516319060062","ss_marking","66-100%"
"-0.2221063120114","0.13650406667516","ss_nature","0-33%"
"-0.00765164533063949","0.148171259022091","ss_nature","33-66%"
"-0.260700571332399","0.151857991133569","ss_nature","66-100%"
"-0.147078242270523","0.142894216410623","ss_street_object","0-33%"
"-0.32156620011567","0.145173086285561","ss_street_object","33-66%"
"-0.0540255500721588","0.150264681858181","ss_street_object","66-100%"
"-0.122576081837432","0.165185116033132","od_person_count","0-33%"
"-0.138354790464136","0.149993604774787","od_person_count","33-66%"
"-0.246072670833244","0.12504865274571","od_person_count","66-100%"
"-0.166347394164212","0.154467512279886","od_vehicle_count","0-33%"
"-0.267194497591226","0.140382881098252","od_vehicle_count","33-66%"
"-0.110642397088728","0.147047143321831","od_vehicle_count","66-100%"
"0.000700946757360566","0.156642771110435","housing_price_log","0-33%"
"-0.144266580694096","0.154391387481678","housing_price_log","33-66%"
"-0.394426925793216","0.134113621259161","housing_price_log","66-100%"
"-0.180153638905765","0.137470471265888","poi_accessibility_log","0-33%"
"-0.0303875139851499","0.157216045156603","poi_accessibility_log","33-66%"
"-0.389815889330869","0.138769446048357","poi_accessibility_log","66-100%"
"-0.267075505917831","0.104791036566566","traffic_speed_log","0-33%"
"0.157998366971259","0.31489589628365","traffic_speed_log","33-66%"
"-0.313583286541322","0.152193586969078","traffic_speed_log","66-100%"
"-0.0840327026942031","0.162018846665792","pop_den_log","0-33%"
"-0.414543178870116","0.138947620005864","pop_den_log","33-66%"
"-0.141260560476937","0.132477598667986","pop_den_log","66-100%"
"-0.126524493033601","0.143910372516516","poi_log","0-33%"
"-0.209594860246196","0.158803318254195","poi_log","33-66%"
"-0.436102607298652","0.140604971583212","poi_log","66-100%"
