"covariate","avg","stderr","ranking","scaling","variation","labels"
"age_0_19",23.3204165445963,0.239508549562224,"Q1",0.239856250563648,0.0698160081723797,"23.3
(0.24)"
"age_0_19",23.2131239171318,0.275559779831593,"Q2",0.16368853492616,0.0698160081723797,"23.2
(0.276)"
"age_0_19",24.0265708310737,0.373144497740373,"Q3",0.861630168792275,0.0698160081723797,"24
(0.373)"
"age_0_19",23.8340709174324,0.356939415614215,"Q4",0.725247880061462,0.0698160081723797,"23.8
(0.357)"
"age_20_39",26.5629113028964,0.390199826673888,"Q1",0.0956672504906571,0.558261534935947,"26.6
(0.39)"
"age_20_39",33.0747156204716,0.489460890907677,"Q2",0.414851458529926,0.558261534935947,"33.1
(0.489)"
"age_20_39",37.6411595823814,0.536554318386698,"Q3",0.708970606186382,0.558261534935947,"37.6
(0.537)"
"age_20_39",40.1524636125308,0.648827793206658,"Q4",0.83431152783088,0.558261534935947,"40.2
(0.649)"
"age_40_59",29.4416400810822,0.122175861589773,"Q1",0.902986184421067,0.787111717311425,"29.4
(0.122)"
"age_40_59",26.1015284882871,0.153630837717877,"Q2",0.580249204143179,0.787111717311425,"26.1
(0.154)"
"age_40_59",24.0184866228057,0.153504764426333,"Q3",0.315214331505802,0.787111717311425,"24
(0.154)"
"age_40_59",22.3760741551517,0.196142343745312,"Q4",0.153825440377484,0.787111717311425,"22.4
(0.196)"
"IMD_score",15.3485031594444,0.533247628525624,"Q1",0.10207114584836,0.458183576573087,"15.3
(0.533)"
"IMD_score",20.2805741718749,0.592739209132023,"Q2",0.379134334876777,0.458183576573087,"20.3
(0.593)"
"IMD_score",25.1045235874027,0.632774650217375,"Q3",0.736710543889017,0.458183576573087,"25.1
(0.633)"
"IMD_score",26.6994615201389,0.541675808972626,"Q4",0.827506198813259,0.458183576573087,"26.7
(0.542)"
"lu_residential_community",5.4118147453891,0.390798547867303,"Q1",0.367065688006468,0.0566836112950442,"5.41
(0.391)"
"lu_residential_community",5.10121644574325,0.397580197483603,"Q2",0.128810932591095,0.0566836112950442,"5.1
(0.398)"
"lu_residential_community",5.6334523600507,0.377050007951596,"Q3",0.589323184688845,0.0566836112950442,"5.63
(0.377)"
"lu_residential_community",6.03328808563314,0.383687445602055,"Q4",0.893592220576273,0.0566836112950442,"6.03
(0.384)"
"lu_commerce_developed",23.8999320501645,0.732930990189772,"Q1",0.142909938685802,0.103157397619524,"23.9
(0.733)"
