"variable","point_estimate","p_value"
IMD_score,-0.225916594936865,0.0118376539196824
ss_visual_complexity,-0.197192097840758,0.0269913933811799
count_log.1,0.00165411135531422,0.695961229610871
ss_construction,-0.270179060814825,0.00242875149017265
ss_road_flat,-0.241979789882352,0.00672433201177638
ss_marking,-0.236036396473932,0.0071387613177043
ss_nature,-0.215315362783419,0.0163880038645228
ss_street_object,-0.222382726799226,0.0127705912051071
od_person_count,-0.246336321064307,0.00560163150195947
od_bicycle_count,-0.212662523263936,0.0169501689958521
od_vehicle_count,-0.248487868316939,0.00536889691429672
od_animal_count,-0.231686214987752,0.00975644254298284
pop_den_log,-0.229385006768074,0.0102094182320631
housing_price_log,-0.420462907415488,1.0294124203248e-06
poi_log,-0.280741575987207,0.000672054216103152
