"covariate","avg","stderr","ranking","scaling","variation","labels"
"year",2015.83193548386,0.043304276024039,"Q1",0.840909358404657,0.0280837418949051,"2020
(0.0433)"
"year",2015.76411745724,0.0416149939577532,"Q2",0.496447442962283,0.0280837418949051,"2020
(0.0416)"
"year",2015.67281553365,0.0420409125367441,"Q3",0.0861655680863306,0.0280837418949051,"2020
(0.042)"
"year",2015.78999999998,0.0452494960071685,"Q4",0.646338715898007,0.0280837418949051,"2020
(0.0452)"
"age_0_19",16.7008663752862,0.0870061173492345,"Q1",0.104262927677579,0.666881892613424,"16.7
(0.087)"
"age_0_19",20.5722306267872,0.0953338213227671,"Q2",0.392732070022183,0.666881892613424,"20.6
(0.0953)"
"age_0_19",23.4876685142172,0.0883133390405679,"Q3",0.680785131808923,0.666881892613424,"23.5
(0.0883)"
"age_0_19",25.805731111684,0.073564802444361,"Q4",0.855413870821408,0.666881892613424,"25.8
(0.0736)"
"age_20_39",45.2041190375555,0.224669400950347,"Q1",0.886165903700233,0.508498897108212,"45.2
(0.225)"
"age_20_39",40.1094968040364,0.200276653139627,"Q2",0.634761064129323,0.508498897108212,"40.1
(0.2)"
"age_20_39",35.4649580801618,0.175697358741688,"Q3",0.329511205735398,0.508498897108212,"35.5
(0.176)"
"age_20_39",31.5143784386042,0.138541528802778,"Q4",0.133582709394403,0.508498897108212,"31.5
(0.139)"
"age_40_59",23.9520556470987,0.0920451630801005,"Q1",0.112023674048093,0.194714668106337,"24
(0.092)"
"age_40_59",24.7043505139389,0.0818343763356587,"Q2",0.37069205792181,0.194714668106337,"24.7
(0.0818)"
"age_40_59",25.3606689548274,0.0728820212254508,"Q3",0.671038827532878,0.194714668106337,"25.4
(0.0729)"
"age_40_59",25.921432522756,0.0582258431750821,"Q4",0.86500240245979,0.194714668106337,"25.9
(0.0582)"
"IMD_score",19.829325486129,0.164954250198794,"Q1",0.0964411975121273,0.214993026076062,"19.8
(0.165)"
"IMD_score",22.2965842849951,0.18944358812558,"Q2",0.394951920316694,0.214993026076062,"22.3
(0.189)"
"IMD_score",24.7014706041395,0.210786371498718,"Q3",0.771273330394932,0.214993026076062,"24.7
(0.211)"
"IMD_score",24.8978702324516,0.213584023665533,"Q4",0.795452734770034,0.214993026076062,"24.9
(0.214)"
"lu_residential_community",4.95505798563654,0.113399000552671,"Q1",0.140691855045137,0.0792069699393162,"4.96
(0.113)"
"lu_residential_community",5.97249410549081,0.157674518762164,"Q2",0.719317954954867,0.0792069699393162,"5.97
(0.158)"
"lu_residential_community",6.27793983661379,0.157209373292159,"Q3",0.859611736133323,0.0792069699393162,"6.28
(0.157)"
"lu_residential_community",5.25883409557837,0.121539939002611,"Q4",0.280223736350691,0.0792069699393162,"5.26
(0.122)"
"lu_commerce_developed",38.1342567700802,0.26566226762132,"Q1",0.909426327791267,0.50118039800469,"38.1
(0.266)"
"lu_commerce_developed",29.9548081585854,0.230557630991148,"Q2",0.558549344150156,0.50118039800469,"30
(0.231)"
"lu_commerce_developed",25.2837836204942,0.200404478926066,"Q3",0.297278538282778,0.50118039800469,"25.3
(0.2)"
"lu_commerce_developed",22.3965281268973,0.182310163362867,"Q4",0.170477730066785,0.50118039800469,"22.4
(0.182)"
"ss_visual_complexity",37.7681487093355,0.0990951313243668,"Q1",0.207398351980959,0.17010120378917,"37.8
(0.0991)"
"ss_visual_complexity",39.0053597636002,0.0722601490882666,"Q2",0.820207156953762,0.17010120378917,"39
(0.0723)"
"ss_visual_complexity",38.9316338403116,0.0649196816886565,"Q3",0.791881197015618,0.17010120378917,"38.9
(0.0649)"
"ss_visual_complexity",37.69801755928,0.0550508447638704,"Q4",0.180453238839059,0.17010120378917,"37.7
(0.0551)"
"slope",15.4133937564755,0.0790966348420006,"Q1",0.390928008878111,0.128434371478883,"15.4
(0.0791)"
"slope",14.887124425389,0.0979699553747882,"Q2",0.170314622770998,0.128434371478883,"14.9
(0.098)"
"slope",15.4899907402251,0.115015885183758,"Q3",0.429161959604962,0.128434371478883,"15.5
(0.115)"
"slope",16.7253142281628,0.133405062067902,"Q4",0.920483604330027,0.128434371478883,"16.7
(0.133)"
"ss_construction",21.1351614898417,0.262908317618884,"Q1",0.914061151004396,0.510765698404639,"21.1
(0.263)"
"ss_construction",13.4587548917441,0.189691590217467,"Q2",0.52521399647813,0.510765698404639,"13.5
(0.19)"
"ss_construction",10.2435374616214,0.15699408144433,"Q3",0.314729290690925,0.510765698404639,"10.2
(0.157)"
"ss_construction",7.50713789219108,0.0916801360860396,"Q4",0.171832019569823,0.510765698404639,"7.51
(0.0917)"
"ss_road_flat",25.8959631800944,0.127746950791617,"Q1",0.107070775168904,0.345639375484214,"25.9
(0.128)"
"ss_road_flat",28.1151496107604,0.098417129435552,"Q2",0.43747926733993,0.345639375484214,"28.1
(0.0984)"
"ss_road_flat",28.8954851013147,0.088002084311682,"Q3",0.588667846279391,0.345639375484214,"28.9
(0.088)"
"ss_road_flat",30.8415675216491,0.086135976723224,"Q4",0.880102899375674,0.345639375484214,"30.8
(0.0861)"
"ss_marking",1.81234413017084,0.0199908396076979,"Q1",0.701898489783303,0.150505563637854,"1.81
(0.02)"
"ss_marking",1.85505301012599,0.0198232321604951,"Q2",0.784655151281494,0.150505563637854,"1.86
(0.0198)"
"ss_marking",1.74539948946384,0.019842350376949,"Q3",0.549832493925807,0.150505563637854,"1.75
(0.0198)"
"ss_marking",1.48592053836605,0.0186600019137,"Q4",0.0744935094953126,0.150505563637854,"1.49
(0.0187)"
"ss_nature",0.823339177397056,0.0378100254553184,"Q1",0.181454707819564,0.102686547524442,"0.823
(0.0378)"
"ss_nature",0.875361841792913,0.0339623997550384,"Q2",0.258360594579348,0.102686547524442,"0.875
(0.034)"
"ss_nature",1.05625179132847,0.0317781584654393,"Q3",0.602803746204641,0.102686547524442,"1.06
(0.0318)"
"ss_nature",1.26261350822508,0.0349080836827276,"Q4",0.90279310405702,0.102686547524442,"1.26
(0.0349)"
"ss_street_object",0.547934426464443,0.00776295747951675,"Q1",0.902212871534369,0.223380595371559,"0.548
(0.00776)"
"ss_street_object",0.469977939619737,0.00487932766494418,"Q2",0.565469301715536,0.223380595371559,"0.47
(0.00488)"
"ss_street_object",0.431811662540764,0.00439738639105387,"Q3",0.348973906277303,0.223380595371559,"0.432
(0.0044)"
"ss_street_object",0.384673149268272,0.00390377634800401,"Q4",0.142079631681084,0.223380595371559,"0.385
(0.0039)"
"od_person_count",0.984915285511265,0.0151251092360506,"Q1",0.915029034776243,0.445904712146898,"0.985
(0.0151)"
"od_person_count",0.624162862522062,0.00914888531026065,"Q2",0.520495005166212,0.445904712146898,"0.624
(0.00915)"
"od_person_count",0.476877524726103,0.00726082307860726,"Q3",0.312799751851486,0.445904712146898,"0.477
(0.00726)"
"od_person_count",0.354552547737416,0.0068334745741939,"Q4",0.174673535359817,0.445904712146898,"0.355
(0.00683)"
"od_bicycle_count",0.0864460203185518,0.00226303062112078,"Q1",0.910658399177296,0.315966694922681,"0.0864
(0.00226)"
"od_bicycle_count",0.0491661863166323,0.00182748569651832,"Q2",0.547139175125422,0.315966694922681,"0.0492
(0.00183)"
"od_bicycle_count",0.0303525852530655,0.0013179034628875,"Q3",0.308372493053656,0.315966694922681,"0.0304
(0.00132)"
"od_bicycle_count",0.0162989139957186,0.000925416382759306,"Q4",0.167826868876797,0.315966694922681,"0.0163
(0.000925)"
"od_vehicle_count",4.5824505069544,0.0328571966607809,"Q1",0.0772530719313554,0.18410340032529,"4.58
(0.0329)"
"od_vehicle_count",5.22080450989825,0.0338960707886517,"Q2",0.622045579068647,0.18410340032529,"5.22
(0.0339)"
"od_vehicle_count",5.4430718518443,0.0367643529562445,"Q3",0.819862938834359,0.18410340032529,"5.44
(0.0368)"
"od_vehicle_count",5.17930710969445,0.0380856410703855,"Q4",0.578513993631925,0.18410340032529,"5.18
(0.0381)"
"od_animal_count",0.00210516959095366,0.000200158166710462,"Q1",0.933177639584487,0.0444148114641553,"0.00211
(2e-04)"
"od_animal_count",0.00124405363591259,0.000143933749038008,"Q2",0.302955665339071,0.0444148114641553,"0.00124
(0.000144)"
"od_animal_count",0.00125147513637221,0.000156202759233914,"Q3",0.30904984545644,0.0444148114641553,"0.00125
(0.000156)"
"od_animal_count",0.00125708246713466,0.000184663438000802,"Q4",0.313689549359184,0.0444148114641553,"0.00126
(0.000185)"
"pop_den_log",8.94623564808034,0.0174568902541336,"Q1",0.704415149575901,0.241485451232998,"8.95
(0.0175)"
"pop_den_log",9.00817749111697,0.0146751653449566,"Q2",0.792375948763189,0.241485451232998,"9.01
(0.0147)"
"pop_den_log",8.84356358845204,0.0154376307181828,"Q3",0.530722118123203,0.241485451232998,"8.84
(0.0154)"
"pop_den_log",8.50746437601504,0.0172154204929007,"Q4",0.0765136305615098,0.241485451232998,"8.51
(0.0172)"
"housing_price_log",13.4342940088104,0.00913594663063805,"Q1",0.892806495684999,0.489042239509815,"13.4
(0.00914)"
"housing_price_log",13.1937843837164,0.00898671922719401,"Q2",0.6191624950072,0.489042239509815,"13.2
(0.00899)"
"housing_price_log",12.993473188627,0.00834041803521346,"Q3",0.316253708430132,0.489042239509815,"13
(0.00834)"
"housing_price_log",12.8426345892314,0.00757395137896955,"Q4",0.143059614108398,0.489042239509815,"12.8
(0.00757)"
"poi_log",4.4897804020293,0.0212488559660398,"Q1",0.88513416805427,0.615822848286527,"4.49
(0.0212)"
"poi_log",3.71493659742083,0.022308624651071,"Q2",0.624603754597528,0.615822848286527,"3.71
(0.0223)"
"poi_log",3.11205868297871,0.0224398556712616,"Q3",0.355769335048506,0.615822848286527,"3.11
(0.0224)"
"poi_log",2.42877262580094,0.0205389471852814,"Q4",0.125307982073428,0.615822848286527,"2.43
(0.0205)"
