"variable","point_estimate","p_value"
slope,0.903113230178759,4.95332140296262e-09
IMD_score,0.92690371064489,2.03758701714639e-09
latitude,0.917763205697035,3.01460388406407e-09
longitude,0.921452080269105,2.38448890732352e-09
ss_visual_complexity,0.887472953189027,7.78277644098928e-09
ss_construction,0.963701700271843,3.20836694387913e-10
ss_road_flat,0.962500773632605,3.91460617870195e-10
ss_marking,0.895327004094538,3.38304621694178e-09
ss_nature,0.919581956273889,2.53831430990014e-09
ss_street_object,0.927101574227059,1.86070494141985e-09
od_person_count,0.936008636694415,9.83199431286312e-10
od_vehicle_count,0.87168494329596,1.69562527230506e-08
od_animal_count,0.928335059504482,1.90968180539308e-09
housing_price_log,0.898994040478933,1.24580529902154e-09
poi_betweenness_log,0.895421325616909,7.07343403844698e-09
poi_accessibility_log,0.785649805785646,4.76247035761738e-08
traffic_speed_log,0.928769215586492,1.12540704042592e-09
pop_den_log,0.886668625355655,8.78332498935957e-09
poi_log,0.709444744860229,6.85669850356375e-07
