"variable","point_estimate","p_value"
IMD_score,0.414454535071351,1.51493905298151e-56
ss_visual_complexity,0.423905604975032,2.90861702551671e-58
slope,0.416628300778665,5.5754456182711e-58
ss_construction,0.45807121673123,1.74730777804852e-68
ss_road_flat,0.435009773788687,9.66142485206963e-62
ss_marking,0.360736221428617,1.25438007512553e-42
ss_nature,0.436983927992925,5.50030035458279e-62
ss_street_object,0.428785892106549,1.024824898413e-59
od_person_count,0.447807423294725,4.17388538164745e-66
od_bicycle_count,0.397367188297513,3.11480694475185e-53
od_vehicle_count,0.42430297310513,4.73680372001221e-59
od_animal_count,0.43559885459676,1.62103556423543e-61
pop_den_log,0.399659516056963,5.02339678451464e-53
housing_price_log,0.456108023726534,9.04509506032902e-73
poi_log,0.307904019772857,1.61655979778529e-37
