"variable","point_estimate","p_value"
IMD_score,0.22831739121047,0.00355706744358608
ss_visual_complexity,0.233715991563209,NA
slope,0.267191309598519,0.00061443275595517
ss_construction,0.142771886004922,0.0714491955757364
ss_road_flat,0.200350265044369,NA
ss_marking,0.265105151679733,0.000663301345659657
ss_nature,0.230657186023164,0.00350052808021241
ss_street_object,0.218014110037071,0.00574333307669654
od_person_count,0.138349723699868,NA
od_bicycle_count,0.00674768261158023,NA
od_vehicle_count,0.220612167063919,0.00491628396680729
od_animal_count,0.235447598660401,0.00288220594867675
pop_den_log,0.210335319964088,NA
housing_price_log,0.139842365634053,0.0661014304604271
poi_log,0.0299565766133427,NA
