"variable","point_estimate","p_value"
IMD_score,0.171292251817366,0.0545000986147629
ss_visual_complexity,0.0323747999661042,0.73871039709613
slope,0.225268777037448,0.0105056998297199
ss_construction,0.544305734739288,4.8245961587497e-10
ss_road_flat,0.363065968172602,5.22203333920065e-05
ss_marking,0.0859397175961823,0.33314589144332
ss_nature,0.190690453209233,0.037889550102477
ss_street_object,0.244024456330786,0.00597407251970173
od_person_count,0.206802299702467,0.019680167793823
od_bicycle_count,0.204416471530009,0.0189874424743083
od_vehicle_count,0.35005514500687,7.42029067811976e-05
od_animal_count,0.247176953741709,0.00582779149396716
pop_den_log,0.196368368091495,0.0244330202166174
housing_price_log,0.311447753047481,0.000261678573256875
poi_log,0.0829742737481138,0.287144974146034
