"variable","point_estimate","p_value"
IMD_score,-0.0651932368725545,0.0271833438948253
ss_visual_complexity,-0.0894834852146206,0.00256818447804245
slope,-0.0697588201339562,0.0176374090772817
ss_construction,-0.0981454608533163,0.000944370630955272
ss_road_flat,-0.0890381045429247,0.00270490617549737
ss_marking,-0.064449998204885,0.0279772695732514
ss_nature,-0.0826149399127485,0.00548097978086389
ss_street_object,-0.0790573906728957,0.00778049173513975
od_person_count,-0.100271371032169,0.000678316743049184
od_bicycle_count,-0.0806551167148001,0.00573387267325179
od_vehicle_count,-0.0739911109085028,0.0122418161700883
od_animal_count,-0.0796255438940969,0.00742582825560195
pop_den_log,-0.086443154504957,0.00317369500966185
housing_price_log,-0.0704504500608388,0.0138208776856289
poi_log,-0.0846153529079222,0.00170656436976422
