"estimate","std.err","covariate","category"
"-0.0541567734542739","0.0459837586065037","year","low"
"-0.0935703351156732","0.0377794184056373","year","high"
"-0.0881797256229441","0.0368132598290925","age_0_19","low"
"-0.0594453565213521","0.0427115374091306","age_0_19","high"
"-0.0722083042168646","0.0439000853641899","age_20_39","low"
"-0.0667837714248443","0.0362365809232057","age_20_39","high"
"-0.059729993657041","0.0385832731613039","age_40_59","low"
"-0.076395967081047","0.040608499087518","age_40_59","high"
"-0.0880718105392698","0.0364480280303137","IMD_score","low"
"-0.0668910353086761","0.0412834273319046","IMD_score","high"
"-0.104409542496838","0.0421505744483289","lu_residential_community","low"
"-0.0461139588266914","0.0362169436177417","lu_residential_community","high"
"-0.0293397931993741","0.0425030508251756","lu_commerce_developed","low"
"-0.101969615954744","0.0369126531162512","lu_commerce_developed","high"
"-0.104986941652398","0.0417131193737245","ss_visual_complexity","low"
"-0.0553632657370398","0.0395468539476813","ss_visual_complexity","high"
"-0.1335527761551","0.0400969972101629","slope","low"
"-0.0213673845050061","0.0374856122663457","slope","high"
"-0.00900401540064712","0.0483481129727596","ss_construction","low"
"-0.108955727442384","0.0361997815926039","ss_construction","high"
"-0.0549903924370395","0.0392101264536769","ss_road_flat","low"
"-0.103053409525218","0.041961824170441","ss_road_flat","high"
"-0.0893448096078928","0.0435404137390693","ss_marking","low"
"-0.0505765765605986","0.0361268126324848","ss_marking","high"
"-0.112074915066363","0.0379831378054011","ss_nature","low"
"-0.0348793497523824","0.0441548241654129","ss_nature","high"
"-0.107957246270722","0.0460322003991534","ss_street_object","low"
"-0.0528747444607007","0.0358279243032339","ss_street_object","high"
"-0.0867215346995908","0.0477685922474409","od_person_count","low"
"-0.0859633847784517","0.0355469838941775","od_person_count","high"
"-0.0878261450045876","0.0453870782212533","od_bicycle_count","low"
"-0.103386732897748","0.0372535857726965","od_bicycle_count","high"
"-0.0875384556095657","0.0461837574146114","od_vehicle_count","low"
"-0.0639916056426253","0.0367482001156886","od_vehicle_count","high"
"-0.0623268402626288","0.0290586451566944","od_animal_count","low"
"-0.233126605138661","0.126834971744227","od_animal_count","high"
"-0.0864439152144804","0.0480003329868841","pop_den_log","low"
"-0.0667801880383105","0.0340897199786323","pop_den_log","high"
"-0.0508404793928906","0.045864099486808","housing_price_log","low"
"-0.114076799319428","0.035499891148258","housing_price_log","high"
"-0.0298401858416185","0.0477119184011637","poi_log","low"
"-0.0969066417228257","0.0347330680019597","poi_log","high"
