"variable","point_estimate","p_value"
IMD_score,-0.0784628974692296,0.559882565584102
ss_visual_complexity,-0.102561211489625,0.444565047549516
slope,-0.0307232764679276,0.818870824232082
count_log.1,0.00129190660098159,0.814258950571815
ss_construction,-0.131857475507096,0.325134535153137
ss_road_flat,-0.0807647460210255,0.546664591234292
ss_marking,0.038112501282038,0.772285892574786
ss_nature,-0.0579079882516545,0.666468481969658
ss_street_object,0.0158559397386886,0.906033020326516
od_person_count,0.0222491695515587,0.867283565148664
od_vehicle_count,0.0516438263233415,0.704604475426995
od_animal_count,-0.0293382459319294,0.827297839467068
pop_den_log,-0.0889668448010659,0.50814132787157
housing_price_log,-0.0690252056828591,0.592906949616995
poi_log,-0.178027367395537,0.151375083630133
