"variable","point_estimate","p_value"
IMD_score,-0.0140549800994875,0.616469513333956
ss_visual_complexity,-0.0199873531427395,0.480420082580184
slope,0.00311548377036983,0.911259832454156
count_log.1,0.00037506426015346,NA
ss_construction,-0.0196718536310883,0.486324441768362
ss_road_flat,-0.00922752907064761,0.743981490586405
ss_marking,0.0366778950225098,0.189477188053091
ss_nature,-0.00734414598668365,0.795437985175932
ss_street_object,0.00602061681061,0.831558858374031
od_person_count,-0.00804118274724022,0.774200406251976
od_bicycle_count,0.000645009206314962,0.981500821945941
od_vehicle_count,0.0675856526918423,0.0182563062046398
od_animal_count,-0.00242790818149835,0.931660621350661
pop_den_log,-0.0934922487528515,0.000961513401433507
housing_price_log,-0.0429609159651883,0.116197323748054
poi_log,-0.110917776264655,1.61960237200981e-05
