"covariate","avg","stderr","ranking","scaling","variation","labels"
"year",2016.14999999999,0.0409111096103327,"Q1",0.91947177144491,0.114687876072624,"2020
(0.0409)"
"year",2015.74217489512,0.0426904048142964,"Q2",0.467531815120278,0.114687876072624,"2020
(0.0427)"
"year",2015.5058252427,0.0431892257247674,"Q3",0.173370232393007,0.114687876072624,"2020
(0.0432)"
"year",2015.66032258071,0.0446369285355438,"Q4",0.352298995537351,0.114687876072624,"2020
(0.0446)"
"age_0_19",20.8157838139286,0.109676962645714,"Q1",0.099481046815638,0.108945506518867,"20.8
(0.11)"
"age_0_19",21.7917348193635,0.107116064619955,"Q2",0.593332860028966,0.108945506518867,"21.8
(0.107)"
"age_0_19",21.5849834626806,0.105271206777632,"Q3",0.465727254548875,0.108945506518867,"21.6
(0.105)"
"age_0_19",22.3682502267379,0.0992272635592475,"Q4",0.871687102582554,0.108945506518867,"22.4
(0.0992)"
"age_20_39",35.6245746676263,0.203532679396037,"Q1",0.0881424837264391,0.15598169247359,"35.6
(0.204)"
"age_20_39",37.8477771932619,0.205408166553804,"Q2",0.449808367650047,0.15598169247359,"37.8
(0.205)"
"age_20_39",39.7374686105815,0.2120758102964,"Q3",0.820180699440407,0.15598169247359,"39.7
(0.212)"
"age_20_39",39.0961845939518,0.206843444507911,"Q4",0.713069402949988,0.15598169247359,"39.1
(0.207)"
"age_40_59",26.8100772437334,0.0815930385322651,"Q1",0.919537698921107,0.29868051129518,"26.8
(0.0816)"
"age_40_59",25.015151239322,0.0773518593461853,"Q2",0.509631898439236,0.29868051129518,"25
(0.0774)"
"age_40_59",24.174880401244,0.0746734714983979,"Q3",0.267344708720991,0.29868051129518,"24.2
(0.0747)"
"age_40_59",23.9346738882551,0.0686400550158165,"Q4",0.210337404316207,0.29868051129518,"23.9
(0.0686)"
"IMD_score",19.4656102131613,0.190297739279797,"Q1",0.0783453358584676,0.22080648264499,"19.5
(0.19)"
"IMD_score",23.1081559390126,0.209879589558069,"Q2",0.528882085255183,0.22080648264499,"23.1
(0.21)"
"IMD_score",24.067685641531,0.19417051153393,"Q3",0.678902027720518,0.22080648264499,"24.1
(0.194)"
"IMD_score",25.0820161436981,0.18665950761438,"Q4",0.810353332856162,0.22080648264499,"25.1
(0.187)"
"lu_residential_community",5.36568290587802,0.120766573828428,"Q1",0.159904883833045,0.0324066596788953,"5.37
(0.121)"
"lu_residential_community",5.59657469940482,0.128900936816766,"Q2",0.470029077812488,0.0324066596788953,"5.6
(0.129)"
"lu_residential_community",5.53732745371924,0.136608952490851,"Q3",0.377831460083377,0.0324066596788953,"5.54
(0.137)"
"lu_residential_community",5.96223062779033,0.166144628063688,"Q4",0.916395380000838,0.0324066596788953,"5.96
(0.166)"
"lu_commerce_developed",31.3240477010725,0.286299572058512,"Q1",0.892872141632855,0.139665507264495,"31.3
(0.286)"
"lu_commerce_developed",29.1083195993756,0.238053717855344,"Q2",0.533966759018884,0.139665507264495,"29.1
(0.238)"
"lu_commerce_developed",28.6961191781702,0.22797964470958,"Q3",0.448306662036996,0.139665507264495,"28.7
(0.228)"
"lu_commerce_developed",26.6516246706714,0.220846112459171,"Q4",0.115604070334738,0.139665507264495,"26.7
(0.221)"
"ss_visual_complexity",38.4252077318492,0.0686092112703242,"Q1",0.584904690786554,0.0831381556313367,"38.4
(0.0686)"
"ss_visual_complexity",38.7215464904102,0.072005641339515,"Q2",0.856124341966967,0.0831381556313367,"38.7
(0.072)"
"ss_visual_complexity",38.3751531359325,0.0845675279139536,"Q3",0.528348182445038,0.0831381556313367,"38.4
(0.0846)"
"ss_visual_complexity",37.879365862622,0.0750830688206161,"Q4",0.0887258444535439,0.0831381556313367,"37.9
(0.0751)"
"slope",14.5387444807998,0.115607197034262,"Q1",0.0954179061416393,0.137560021745888,"14.5
(0.116)"
"slope",15.4759146838853,0.109769014974903,"Q2",0.426956930639069,0.137560021745888,"15.5
(0.11)"
"slope",16.0297226750728,0.102820219229542,"Q3",0.684413279726445,0.137560021745888,"16
(0.103)"
"slope",16.4733723135945,0.103884181797372,"Q4",0.844269612333342,0.137560021745888,"16.5
(0.104)"
"ss_construction",14.6534422844986,0.219192530831,"Q1",0.878122232098629,0.116384772735439,"14.7
(0.219)"
"ss_construction",12.9937731664997,0.197168975597955,"Q2",0.471846180657656,0.116384772735439,"13
(0.197)"
"ss_construction",13.3201220487103,0.223316841944181,"Q3",0.568464464170892,0.116384772735439,"13.3
(0.223)"
"ss_construction",11.3870287079953,0.182695339999989,"Q4",0.102490530131201,0.116384772735439,"11.4
(0.183)"
"ss_road_flat",28.3632157579795,0.109369611857034,"Q1",0.406855529619352,0.0524907241536983,"28.4
(0.109)"
"ss_road_flat",28.4574709228549,0.0991462674515716,"Q2",0.527017790025399,0.0524907241536983,"28.5
(0.0991)"
"ss_road_flat",28.0867632578102,0.110555278180234,"Q3",0.130173979428926,0.0524907241536983,"28.1
(0.111)"
"ss_road_flat",28.8382171212649,0.105549899287153,"Q4",0.902069662510976,0.0524907241536983,"28.8
(0.106)"
"ss_marking",1.74598265569168,0.0152591886956594,"Q1",0.776080415323672,0.0255676288184136,"1.75
(0.0153)"
"ss_marking",1.74609971878649,0.0159822585862817,"Q2",0.77732420113657,0.0255676288184136,"1.75
(0.016)"
"ss_marking",1.71968119788298,0.0204342655151152,"Q3",0.429840136727858,0.0255676288184136,"1.72
(0.0204)"
"ss_marking",1.68683548731177,0.0255826148943821,"Q4",0.0892434200519449,0.0255676288184136,"1.69
(0.0256)"
"ss_nature",0.76131734489805,0.0238934940904401,"Q1",0.168744949365159,0.130756023510952,"0.761
(0.0239)"
"ss_nature",0.896200542074543,0.0312263728244554,"Q2",0.334754364791386,0.130756023510952,"0.896
(0.0312)"
