"variable","point_estimate","p_value"
IMD_score,-0.00840600406798979,0.896002708027306
ss_visual_complexity,0.0418534638683752,0.517359617501765
ss_construction,-0.0234159022530386,0.71652947517638
ss_road_flat,0.000209243686902701,0.997424167191968
ss_marking,0.043610642453144,0.495407161835732
ss_nature,0.0317552709964915,0.623763840413673
ss_street_object,0.00526150977605393,0.935210520757906
od_person_count,-0.0471359956489973,0.464886257293341
od_bicycle_count,-0.00993345151236494,0.876325298082675
od_vehicle_count,0.0189258590397161,0.769373295734287
od_animal_count,0.0284730024574669,0.660570841584716
pop_den_log,0.0393304671571613,0.538367639726604
housing_price_log,0.0668945972619328,0.285219114583535
poi_log,-0.0656090127823937,0.267118046124661
