"variable","point_estimate","p_value"
IMD_score,-0.0109253638351123,0.859389992459392
ss_visual_complexity,0.0367955762788694,0.552801129831462
slope,0.0260580123344333,0.671210443499952
ss_construction,-0.0249110539069018,0.6878303448596
ss_road_flat,0.00572943470607105,0.926549676453923
ss_marking,0.0407706769881624,0.505809820623396
ss_nature,0.0282334173322682,0.64948830105441
ss_street_object,0.00296531913140439,0.961930472293002
od_person_count,-0.0443316445749732,0.472175861250042
od_bicycle_count,-0.0122192602194126,0.841441789459941
od_vehicle_count,0.0150573760055091,0.807400479147816
od_animal_count,0.0255936114393719,0.680596100165869
pop_den_log,0.0345746766992155,0.572408491192595
housing_price_log,0.0633243695331444,0.289064870996377
poi_log,-0.0647828697981035,0.249378397662806
