"covariate","avg","stderr","ranking","scaling","variation","labels"
"slope",15.0713688575153,0.343506855285587,"Q1",0.173135318938943,0.104433822548128,"15.1
(0.344)"
"slope",15.2125222534837,0.347668978693976,"Q2",0.23148099572066,0.104433822548128,"15.2
(0.348)"
"slope",16.4778889835744,0.388689542261405,"Q3",0.870648677517382,0.104433822548128,"16.5
(0.389)"
"slope",16.0819360344073,0.372300117540145,"Q4",0.70759181457329,0.104433822548128,"16.1
(0.372)"
"IMD_score",30.0899159272222,0.658501897043715,"Q1",0.918089854141622,0.530277830080238,"30.1
(0.659)"
"IMD_score",21.8740388721526,0.545835894915621,"Q2",0.503024522098096,0.530277830080238,"21.9
(0.546)"
"IMD_score",18.8734848583864,0.518233311732294,"Q3",0.309188839561358,0.530277830080238,"18.9
(0.518)"
"IMD_score",16.4787908049305,0.49038092741866,"Q4",0.183590119297712,0.530277830080238,"16.5
(0.49)"
"age_0_19",26.3251281542815,0.319179389974909,"Q1",0.910480844748875,0.360768607995451,"26.3
(0.319)"
"age_0_19",23.7408779112709,0.296402684012983,"Q2",0.529051448541656,0.360768607995451,"23.7
(0.296)"
"age_0_19",22.771978502632,0.298460632890797,"Q3",0.34325993811818,0.360768607995451,"22.8
(0.298)"
"age_0_19",21.5326740358914,0.286115403219036,"Q4",0.155524039558762,0.360768607995451,"21.5
(0.286)"
"age_20_39",33.9990227688815,0.442268408506247,"Q1",0.124714855669506,0.0278543399880488,"34
(0.442)"
"age_20_39",34.4354016944777,0.570342775361387,"Q2",0.62336607958834,0.0278543399880488,"34.4
(0.57)"
"age_20_39",34.2336048408811,0.610556609536542,"Q3",0.358067856467273,0.0278543399880488,"34.2
(0.611)"
"age_20_39",34.6993291626369,0.737157119163185,"Q4",0.88513029792756,0.0278543399880488,"34.7
(0.737)"
"age_40_59",24.9942912124653,0.178178752859674,"Q1",0.0782292893052104,0.0908605371108288,"25
(0.178)"
"age_40_59",25.5060766140803,0.198739004374446,"Q2",0.515156002222057,0.0908605371108288,"25.5
(0.199)"
"age_40_59",25.7846648254657,0.22153066607608,"Q3",0.79674977549175,0.0908605371108288,"25.8
(0.222)"
"age_40_59",25.6858125366152,0.259260370305402,"Q4",0.70850272230363,0.0908605371108288,"25.7
(0.259)"
"lu_residential_community",6.16873290948845,0.412951052490536,"Q1",0.824517050894287,0.0966984605202349,"6.17
(0.413)"
"lu_residential_community",5.75794178377615,0.407933011990603,"Q2",0.624904535128814,0.0966984605202349,"5.76
(0.408)"
"lu_residential_community",5.65454664378562,0.42905932116536,"Q3",0.565040858980323,0.0966984605202349,"5.65
(0.429)"
"lu_residential_community",4.59894581758599,0.279188964530673,"Q4",0.0785537029468876,0.0966984605202349,"4.6
(0.279)"
"lu_commerce_developed",26.0434736209818,0.66463312147994,"Q1",0.851631698188974,0.0578350691197777,"26
(0.665)"
"lu_commerce_developed",25.7449684266368,0.687117528837818,"Q2",0.737290200487428,0.0578350691197777,"25.7
(0.687)"
"lu_commerce_developed",24.83040049462,0.739453560526146,"Q3",0.268819654493855,0.0578350691197777,"24.8
(0.739)"
"lu_commerce_developed",24.504669060171,0.738925100354885,"Q4",0.144098784472609,0.0578350691197777,"24.5
(0.739)"
"ss_visual_complexity",38.3978426521681,0.21102183177693,"Q1",0.748426860424933,0.0309401097594874,"38.4
(0.211)"
"ss_visual_complexity",38.3367676115825,0.212424624159274,"Q2",0.563492046764969,0.0309401097594874,"38.3
(0.212)"
"ss_visual_complexity",38.3930891579932,0.20663989173131,"Q3",0.735612114125629,0.0309401097594874,"38.4
(0.207)"
