"variable","point_estimate","p_value"
IMD_score,0.201399625376565,0.0135892121869152
ss_visual_complexity,0.166594083382846,0.0403342324093162
slope,0.1889728133667,0.0203278469589261
ss_construction,0.15911277511415,0.0504286397645828
ss_road_flat,0.175650765778137,0.0307789798691154
ss_marking,0.219460718511525,0.00586191204367931
ss_nature,0.207375600105058,0.010733140512727
ss_street_object,0.168053308087321,0.0402290974410623
od_person_count,0.205566852877055,0.0108025602559588
od_vehicle_count,0.21941457048584,0.00682315314113512
od_animal_count,0.217408476029535,0.00761298892737713
pop_den_log,0.192141446294639,0.0178354819800428
housing_price_log,0.194591854626096,0.0126644739428132
poi_log,0.101471767903542,0.176515157187563
