"variable","point_estimate","p_value"
IMD_score,0.286180017324438,8.66237881637202e-37
ss_visual_complexity,0.300744618471881,2.98796311930089e-40
slope,0.308110652147571,6.46440350561195e-43
ss_construction,0.268627735394282,7.238444517986e-32
ss_road_flat,0.295239000988951,3.83726797129772e-38
ss_marking,0.294358038962342,2.09117715861967e-39
ss_nature,0.306215903385171,1.94926498707046e-41
ss_street_object,0.289029960823907,2.67893863956866e-36
od_person_count,0.280692187279817,1.61626131541752e-35
od_bicycle_count,0.27835254140914,1.41341545581747e-35
od_vehicle_count,0.297434771627801,1.29389387871497e-39
od_animal_count,0.305776501825885,2.81512389515369e-41
pop_den_log,0.264543122988133,7.8709326566633e-32
housing_price_log,0.257273702852532,7.20855425245069e-32
poi_log,0.141083608931644,1.45759042118561e-11
