"covariate","avg","stderr","ranking","scaling","variation","labels"
"year",2015.88806451612,0.0424726766115985,"Q1",0.867961246587357,0.0460338824781496,"2020
(0.0425)"
"year",2015.61955469506,0.0432857988595017,"Q2",0.0941239057190955,0.0460338824781496,"2020
(0.0433)"
"year",2015.77896440118,0.0426517744070372,"Q3",0.551085546401959,0.0460338824781496,"2020
(0.0427)"
"year",2015.77258064515,0.0437981083854531,"Q4",0.528130132115047,0.0460338824781496,"2020
(0.0438)"
"age_0_19",19.1663610706614,0.113048837850917,"Q1",0.0814275614811924,0.301027214845895,"19.2
(0.113)"
"age_0_19",21.5572156576526,0.105554726976445,"Q2",0.481125193271204,0.301027214845895,"21.6
(0.106)"
"age_0_19",22.7994492699334,0.0977606316719516,"Q3",0.743175362716884,0.301027214845895,"22.8
(0.0978)"
"age_0_19",23.0415683047556,0.0910919050404004,"Q4",0.785147616172436,0.301027214845895,"23
(0.0911)"
"age_20_39",43.7775670007392,0.191084196759936,"Q1",0.874041683934948,0.428241397040901,"43.8
(0.191)"
"age_20_39",39.7964257393075,0.194201833507185,"Q2",0.635313472770525,0.428241397040901,"39.8
(0.194)"
"age_20_39",36.7361869823218,0.197940013055099,"Q3",0.39404457019709,0.428241397040901,"36.7
(0.198)"
"age_20_39",31.9867723857168,0.19267442484605,"Q4",0.110688778734934,0.428241397040901,"32
(0.193)"
"age_40_59",23.6884357860382,0.0800185066499121,"Q1",0.147829398790832,0.284147682377938,"23.7
(0.08)"
"age_40_59",24.4147473833403,0.0727735943789816,"Q2",0.322851018155389,0.284147682377938,"24.4
(0.0728)"
"age_40_59",25.2606885512943,0.0782285997281583,"Q3",0.588167194393396,0.284147682377938,"25.3
(0.0782)"
"age_40_59",26.5742199801526,0.0725818331068168,"Q4",0.90020079986692,0.284147682377938,"26.6
(0.0726)"
"IMD_score",24.881658737742,0.172106040010356,"Q1",0.811953058922031,0.199010249344509,"24.9
(0.172)"
"IMD_score",24.2594776092073,0.203462632138486,"Q2",0.726736652912436,0.199010249344509,"24.3
(0.203)"
"IMD_score",22.635644704938,0.207010321452578,"Q3",0.446940800030703,0.199010249344509,"22.6
(0.207)"
"IMD_score",19.9424387927097,0.200134606151131,"Q4",0.0877573687084541,0.199010249344509,"19.9
(0.2)"
"lu_residential_community",5.90514233835156,0.104643807879131,"Q1",0.821988726272938,0.0404824886002419,"5.91
(0.105)"
"lu_residential_community",5.24134254867749,0.119170481088544,"Q2",0.116330110090855,0.0404824886002419,"5.24
(0.119)"
"lu_residential_community",5.84191436825165,0.155583204628981,"Q3",0.764659100736183,0.0404824886002419,"5.84
(0.156)"
"lu_residential_community",5.47428437892904,0.167654452358632,"Q4",0.326064505194033,0.0404824886002419,"5.47
(0.168)"
