"variable","point_estimate","p_value"
IMD_score,0.231567561266671,0.00857857470631436
ss_visual_complexity,0.168416276505246,0.0565019034065257
slope,0.221675591316414,0.0117038232394022
ss_construction,0.388221096596224,1.71225424367239e-05
ss_road_flat,0.202011588606096,0.0216260300326846
ss_marking,0.222754167270387,0.00977468455109605
ss_nature,0.237511399653275,0.00702876089105741
ss_street_object,0.282599366696057,0.0015463031241926
od_person_count,0.245811707315489,0.00485280083932941
od_vehicle_count,0.153380616195609,0.0834106661213308
od_animal_count,0.225334492213146,0.0105510094220432
pop_den_log,0.24018892410015,0.00620233395783607
housing_price_log,0.13323318860308,0.116025493566249
poi_log,0.209775189134978,0.00970988053169528
