"variable","point_estimate","p_value"
IMD_score,0.135575344654262,8.04185747921633e-09
ss_visual_complexity,0.089258736578586,0.000176470247392386
slope,0.131349427735135,2.24125811009362e-08
count_log.1,5.30572653699217e-05,NA
ss_construction,0.2134506759656,1.62640682353004e-18
ss_road_flat,0.112859444420341,1.64581943615074e-06
ss_marking,0.13818719168123,3.00266255911089e-09
ss_nature,0.124338225182347,1.75975852203021e-07
ss_street_object,0.163625274924639,2.08707238000185e-11
od_person_count,0.150120068298315,1.69050479310537e-10
od_bicycle_count,0.107354494917977,3.62199856922682e-06
od_vehicle_count,0.0809132700342614,0.000569150903028973
od_animal_count,0.109714191164902,3.38721605915356e-06
pop_den_log,0.0837415815751652,0.000354711750184026
housing_price_log,0.0406286271238999,0.0744276867562694
poi_log,0.131527078562967,1.26500782042818e-09
