"covariate","avg","stderr","ranking","scaling","variation","labels"
"slope",13.7944628014555,0.285520580174676,"Q1",0.0829143178069375,0.212782142708076,"13.8
(0.286)"
"slope",15.6076711854907,0.332069047268246,"Q2",0.470034047431095,0.212782142708076,"15.6
(0.332)"
"slope",16.6407332344675,0.391746064001849,"Q3",0.749046041931649,0.212782142708076,"16.6
(0.392)"
"slope",16.8039022372711,0.411995418435555,"Q4",0.785068425921984,0.212782142708076,"16.8
(0.412)"
"IMD_score",28.4230975573611,0.538359897167806,"Q1",0.85923283941066,0.547024649588923,"28.4
(0.538)"
"IMD_score",24.9085097606944,0.596025552563362,"Q2",0.692392437696738,0.547024649588923,"24.9
(0.596)"
"IMD_score",19.5228058313518,0.538026803592075,"Q3",0.35297257717875,0.547024649588923,"19.5
(0.538)"
"IMD_score",14.4739920815277,0.534216266746439,"Q4",0.114640154018644,0.547024649588923,"14.5
(0.534)"
"age_0_19",22.6123111204062,0.405306784638053,"Q1",0.0772698380379381,0.122927627848752,"22.6
(0.405)"
"age_0_19",23.6191379821631,0.330343112835305,"Q2",0.511727378817278,0.122927627848752,"23.6
(0.33)"
"age_0_19",24.0737409552231,0.262892858350396,"Q3",0.753484242770626,0.122927627848752,"24.1
(0.263)"
"age_0_19",24.0898765922695,0.22751279027522,"Q4",0.760770278710675,0.122927627848752,"24.1
(0.228)"
"age_20_39",42.6689272102945,0.561657698725222,"Q1",0.875148551482686,0.677966595266128,"42.7
(0.562)"
"age_20_39",37.1941874664594,0.490456867219811,"Q2",0.653722437597779,0.677966595266128,"37.2
(0.49)"
"age_20_39",31.6389445357035,0.457759153970179,"Q3",0.355168577912489,0.677966595266128,"31.6
(0.458)"
"age_20_39",25.8166493736976,0.416055920104627,"Q4",0.11998576600502,0.677966595266128,"25.8
(0.416)"
"age_40_59",22.7614627925259,0.202311992384247,"Q1",0.118412041313887,0.597109215276322,"22.8
(0.202)"
"age_40_59",24.6503883521256,0.187765064839047,"Q2",0.357276734080746,0.597109215276322,"24.7
(0.188)"
"age_40_59",26.4401911513841,0.181861213467067,"Q3",0.658577251399417,0.597109215276322,"26.4
(0.182)"
"age_40_59",28.1310940112019,0.169258707319902,"Q4",0.872883212768416,0.597109215276322,"28.1
(0.169)"
"lu_residential_community",5.70303086593797,0.335100366218526,"Q1",0.678856078564914,0.0494503701513326,"5.7
(0.335)"
