"variable","point_estimate","p_value"
slope,0.126386035493722,0.12485224463084
IMD_score,0.14366543815415,0.0815230796134939
latitude,0.121202400384267,0.143182777867769
longitude,0.0950039426781985,0.251636890566909
ss_visual_complexity,0.0619634821192668,0.455617014792
ss_construction,0.281298832220401,0.000867377818489141
ss_road_flat,0.10714859001544,0.19334719322412
ss_marking,0.146374407747359,0.0697882954676373
ss_nature,0.131275332071209,0.111227767745659
ss_street_object,0.183366942365428,0.028513639801272
od_person_count,0.171230715371208,0.036330255025668
od_vehicle_count,0.0708807531330933,0.390555472332161
od_animal_count,0.130048256096505,0.114953577854618
housing_price_log,0.0165800483870722,0.835010531239124
poi_betweenness_log,0.0977896364149,0.236289846517785
poi_accessibility_log,0.102630773270481,0.181332500607818
traffic_speed_log,0.0853367860043168,0.296054620766335
pop_den_log,0.120635521700373,0.141479223213682
poi_log,0.119493679806907,0.115792119787489
