"","pr_score","count_point_id","year","month","treatment"
"1",0.182867482177995,16012,"2012","7",0
"2",0.127468342108277,16012,"2015","9",0
"3",0.554546330160566,16012,"2017","6",1
"4",0.263004815558889,16012,"2019","5",0
"5",0.0381747882055975,16104,"2015","10",0
"6",0.113006046150714,16104,"2019","6",0
"7",0.00116331869498767,16140,"2015","10",0
"8",0.0683038419100139,16142,"2012","9",0
"9",0.00365095644707016,16142,"2015","6",0
"10",0.849239623638985,16185,"2015","7",0
"11",0.112596525134144,16202,"2019","7",0
"12",0.727270783776178,16239,"2017","6",0
"13",0.916712415644763,16239,"2019","5",1
"14",0.00270437201256604,16258,"2015","6",0
"15",0.0175180238536115,16401,"2015","4",0
"16",0.00755808007202347,16404,"2015","4",0
"17",0.029833035719133,16433,"2015","9",0
"18",0.00645833663548399,16434,"2015","6",0
"19",0.00961462710884188,16434,"2017","6",0
"20",0.00306404306421625,16434,"2019","7",0
"21",0.0430457543140175,16626,"2015","6",0
"22",0.0553200748342704,16643,"2019","4",0
"23",0.00639157196879865,16737,"2015","9",0
"24",0.0474094925282316,16741,"2019","7",0
"25",0.166683200839386,16767,"2015","6",0
"26",0.756631966206778,16784,"2019","5",1
"27",0.938253134726578,16864,"2010","3",1
"28",0.945522128580512,16864,"2019","6",1
"29",0.18269784776445,16866,"2019","6",0
"30",0.178688852818555,16870,"2015","6",0
"31",0.00652984047992208,17007,"2015","6",0
"32",0.439716621087858,17013,"2015","6",1
"33",0.00462305651427967,17019,"2014","6",0
"34",0.0249738052055487,17019,"2015","6",0
"35",0.521549219308931,17020,"2014","6",0
"36",0.0149969619184673,17020,"2015","6",0
"37",0.0701368392956319,17022,"2015","7",0
"38",0.0545075593997568,17169,"2015","10",0
"39",0.0529917232253838,17171,"2019","6",0
"40",0.00241965650216817,17172,"2019","7",0
"41",0.0264914749239567,17174,"2015","10",0
"42",0.0232706219202226,17472,"2019","3",0
"43",0.0290249342881727,17522,"2019","5",0
"44",0.130565584930497,17527,"2019","5",0
"45",0.00663599463593427,17536,"2019","5",0
"46",0.0537308155555439,17569,"2015","5",0
"47",0.146761684263843,17578,"2015","7",0
"48",0.0530067722933497,17600,"2015","7",1
"49",0.842845968406348,17639,"2012","7",1
"50",0.516491118657709,17639,"2014","10",0
"51",0.738336046332208,17639,"2015","10",0
"52",0.0933756967181212,17686,"2015","5",0
"53",0.115636531881079,17688,"2015","9",1
"54",0.266696729031061,17876,"2012","6",0
"55",0.122970749297638,18066,"2015","6",1
"56",0.772732536680245,18167,"2015","10",1
"57",0.000121107386440894,18169,"2019","6",0
"58",0.0316173861858563,18267,"2019","4",0
"59",0.00464948273800707,18335,"2019","6",0
"60",0.174146626586004,18434,"2015","6",1
"61",0.0120195377068125,18454,"2014","6",0
"62",0.0412596572985352,18454,"2015","6",0
"63",0.610570681953602,18467,"2015","4",0
"64",0.16525171690496,18468,"2015","5",0
"65",0.00322708343686316,18473,"2019","3",0
"66",0.165307965476785,18496,"2015","9",0
"67",0.0163539760707811,18526,"2015","10",0
"68",0.0797216739138812,18560,"2015","6",0
"69",0.00021821160106886,18604,"2019","5",0
"70",0.342748756045165,18663,"2019","5",0
"71",0.00313294768054868,18664,"2015","9",0
"72",0.119746700322242,18727,"2019","5",0
"73",0.0362784811786006,19035,"2015","6",0
"74",0.102345579308697,26012,"2015","9",0
"75",0.0218905180702627,26078,"2019","5",0
"76",0.019396686791646,26080,"2015","6",0
"77",0.0228573088579967,26081,"2019","4",0
"78",0.167128911686354,26102,"2015","7",0
"79",0.092369209920064,26116,"2015","9",0
"80",0.185331353002439,26180,"2019","5",1
"81",0.801916295282254,26181,"2019","3",1
"82",0.0107047542417318,26182,"2015","10",0
"83",0.416535447363047,26189,"2012","6",0
"84",0.327441345980373,26189,"2014","5",0
"85",0.558950296213108,26189,"2017","6",0
"86",0.752975530977094,26189,"2019","6",0
"87",0.16808700664335,26199,"2015","5",1
"88",0.0918173365449088,26211,"2017","6",0
"89",0.190699731491046,26211,"2019","6",0
"90",0.154628053675792,26212,"2014","7",0
"91",0.485280250432968,26212,"2015","6",0
"92",1.06648018281936e-05,26212,"2019","6",0
"93",0.00267486939450248,26217,"2015","5",0
"94",0.101536875534071,26271,"2015","6",0
"95",0.276682507668811,26429,"2012","4",1
"96",0.0276646052131165,26429,"2014","6",1
