"variable","point_estimate","p_value"
ss_visual_complexity,0.239807355290496,0.000526892849441952
ss_construction,0.267958641663757,3.95761617646176e-05
ss_road_flat,0.256480796572983,0.000223261813768396
ss_marking,0.238789014316406,0.00061653025393709
ss_nature,0.217924192789868,0.00175121856070209
ss_street_object,0.276881520048885,8.19305796520712e-05
od_person_count,0.286851573870377,9.88819145860174e-06
od_bicycle_count,0.269119612687257,9.76782950226341e-05
od_vehicle_count,0.244734772049928,0.00041849535796759
od_animal_count,0.236850858703936,0.000677318101308175
pop_den_log,0.210535534612767,0.00204423038756842
average_income_log,0.222930676471108,0.00133075280456254
poi_log,0.305078498676708,2.38024928600936e-06
