"variable","point_estimate","p_value"
slope,0.189162632257216,0.0932144273396838
ss_visual_complexity,0.239680790954137,NA
ss_construction,0.277641986998186,NA
ss_road_flat,0.245538342512559,0.00055862379926551
ss_marking,0.23830803238541,NA
ss_nature,0.210648108060625,NA
ss_street_object,0.278956566948413,NA
od_person_count,0.285018094788545,NA
od_bicycle_count,0.265564105481769,0.000149352586561205
od_vehicle_count,0.236932342757475,NA
od_animal_count,0.224182522729335,NA
pop_den_log,0.213145118241172,NA
average_income_log,0.218740630433668,0.00190880321974953
housing_price_log,0.144519068535553,NA
poi_log,0.296747976595882,NA
