"covariate","avg","stderr","ranking","scaling","variation","labels"
"age_0_19",18.5852902903846,0.475400924596683,"Q1",0.774271598434198,0.0771070838747352,"18.6
(0.475)"
"age_0_19",18.6769336853193,0.4718074993066,"Q2",0.825216946020942,0.0771070838747352,"18.7
(0.472)"
"age_0_19",17.9123339020512,0.439933113421413,"Q3",0.278693910766184,0.0771070838747352,"17.9
(0.44)"
"age_0_19",17.6536586192255,0.455796032256764,"Q4",0.135297388340104,0.0771070838747352,"17.7
(0.456)"
"age_20_39",33.3702009986507,0.89004860475886,"Q1",0.201940215828759,0.0944788035996057,"33.4
(0.89)"
"age_20_39",33.443800790016,0.815163716459896,"Q2",0.221617386933658,0.0944788035996057,"33.4
(0.815)"
"age_20_39",34.6372642314918,0.78544636079602,"Q3",0.631342421977616,0.0944788035996057,"34.6
(0.785)"
"age_20_39",35.6449959503851,0.742662987474234,"Q4",0.897251048015383,0.0944788035996057,"35.6
(0.743)"
"age_40_59",24.3728631782273,0.353807921703482,"Q1",0.19108815519493,0.180335420391722,"24.4
(0.354)"
"age_40_59",24.6771430597136,0.348366189266737,"Q2",0.297842117112203,0.180335420391722,"24.7
(0.348)"
"age_40_59",25.1531535960908,0.340952769824678,"Q3",0.502552868821543,0.180335420391722,"25.2
(0.341)"
"age_40_59",26.3867657964778,0.333905691931951,"Q4",0.918960165992804,0.180335420391722,"26.4
(0.334)"
"lu_residential_community",89.5752918580692,1.53120614957165,"Q1",0.741645561519772,0.396211420846811,"89.6
(1.53)"
"lu_residential_community",89.6803738492501,1.42928561572969,"Q2",0.744360156988144,0.396211420846811,"89.7
(1.43)"
"lu_residential_community",83.3847110549531,2.04639127633887,"Q3",0.560571393287706,0.396211420846811,"83.4
(2.05)"
"lu_residential_community",63.2892779104341,3.00509633892397,"Q4",0.0724628173758065,0.396211420846811,"63.3
(3.01)"
"ss_visual_complexity",32.9154279353668,0.151913642102666,"Q1",0.856115690867564,0.0566740021027506,"32.9
(0.152)"
"ss_visual_complexity",32.6267312856465,0.18472298176902,"Q2",0.31853473059211,0.0566740021027506,"32.6
(0.185)"
"ss_visual_complexity",32.8212731003146,0.256532513919111,"Q3",0.71309995902753,0.0566740021027506,"32.8
(0.257)"
"ss_visual_complexity",32.4984693531309,0.313612990271477,"Q4",0.124313018196381,0.0566740021027506,"32.5
(0.314)"
"ss_construction",9.12523942970844,0.422836734328634,"Q1",0.243328631725482,0.128798733101091,"9.13
(0.423)"
"ss_construction",9.35542602821324,0.504045679381416,"Q2",0.320884031750499,0.128798733101091,"9.36
(0.504)"
"ss_construction",9.49932390904416,0.465026282694229,"Q3",0.374032278114793,0.128798733101091,"9.5
(0.465)"
"ss_construction",11.3008464711314,0.738231296281093,"Q4",0.930837289980382,0.128798733101091,"11.3
(0.738)"
"ss_road_flat",36.6763720405245,0.399639996394232,"Q1",0.126254206535815,0.0596495602024895,"36.7
(0.4)"
"ss_road_flat",37.456008831641,0.36859264196643,"Q2",0.884420959458639,0.0596495602024895,"37.5
(0.369)"
"ss_road_flat",37.1675100391565,0.400888547404586,"Q3",0.629627738694348,0.0596495602024895,"37.2
(0.401)"
"ss_road_flat",36.9295102992037,0.411250740152676,"Q4",0.350500083627751,0.0596495602024895,"36.9
(0.411)"
