"variable","point_estimate","p_value"
ss_visual_complexity,-0.0296814465617678,0.723706733492056
count_log.1,0.000235314044638349,0.896487375218159
ss_construction,-0.0221811512710998,0.78265319729068
ss_road_flat,-0.0743357340432653,0.377727668389953
ss_marking,-0.0843137882424742,0.322201791913769
ss_nature,-0.101002766441503,0.23376752730693
ss_street_object,-0.0842065875182896,0.32403349057202
od_bicycle_count,-0.0949503269496175,0.262768704275773
od_vehicle_count,-0.0726260532013328,0.38401092957293
od_animal_count,-0.103667332588352,0.222179687866151
pop_den_log,-0.123077130776509,0.131802510124728
average_income_log,-0.111077825987375,0.196311411689967
poi_log,-0.165634522722528,0.0353002056916413
