"variable","point_estimate","p_value"
ss_visual_complexity,-0.123121617733836,0.172614171747601
ss_construction,-0.0484778576014632,0.563738814703847
ss_road_flat,-0.0698600029980484,0.438321518845041
ss_marking,-0.0130879637381011,0.884068230203019
ss_nature,0.016007978405189,0.85840441652782
ss_street_object,-0.00789765209415299,0.929804701759154
od_person_count,-0.146800234553747,0.0806474690522325
od_bicycle_count,-0.0819678681458551,0.357062983776973
od_vehicle_count,-0.00921655325461037,0.917766679328239
od_animal_count,-0.0140651822976903,0.875327908463353
pop_den_log,-0.0759179398935869,0.388062928970813
average_income_log,-0.00834289384821256,0.925558903276921
poi_log,-0.094941377287344,0.255379731228473
