"variable","point_estimate","p_value"
slope,-0.022747470395708,NA
ss_visual_complexity,-0.130385232681312,0.141002688768649
count_log.1,0.0137182060537803,NA
ss_construction,-0.0592850443032372,NA
ss_road_flat,-0.0798767340650829,NA
ss_marking,-0.0295057862506378,NA
ss_nature,-0.00338904442465251,0.969190111411799
ss_street_object,-0.0281450332121565,0.747211782608988
od_person_count,-0.157287651013188,NA
od_bicycle_count,-0.0976276430498586,0.261423933722776
od_vehicle_count,-0.0296751863014937,NA
od_animal_count,-0.0277026101372664,NA
pop_den_log,-0.0805537108046274,NA
average_income_log,-0.0243654672542671,0.780395552628482
poi_log,-0.107862911292458,NA
