"variable","point_estimate","p_value"
ss_visual_complexity,-0.42296938599353,6.59465244731822e-10
ss_construction,-0.338203002101759,1.49007261922795e-07
ss_road_flat,-0.46956571075756,5.55484780345948e-12
ss_marking,-0.474942667534789,3.59826378037216e-12
ss_nature,-0.470306683917089,5.62193272219599e-12
ss_street_object,-0.474680941256137,3.67004221513199e-12
od_person_count,-0.323920683884863,6.0677701906384e-07
od_bicycle_count,-0.459255772806253,1.26254660581577e-11
od_vehicle_count,-0.440561601472833,2.18845939674901e-10
od_animal_count,-0.475716518359129,3.53014649629596e-12
pop_den_log,-0.412178486018749,8.90941554382097e-10
average_income_log,-0.474700069076118,2.97598369566826e-12
poi_log,-0.418590669481154,5.19404660623052e-11
