"variable","point_estimate","p_value"
slope,-0.432794044752087,2.64459735047281e-10
ss_visual_complexity,-0.397945950034923,NA
count_log.1,0.000440512106194208,NA
ss_construction,-0.30597856893298,NA
ss_road_flat,-0.43546864524234,NA
ss_marking,-0.448179994916981,NA
ss_nature,-0.438430866112019,NA
ss_street_object,-0.441054903505964,1.31330278587808e-10
od_person_count,-0.305789422285442,NA
od_bicycle_count,-0.423677105623351,4.1284594547917e-10
od_vehicle_count,-0.433250984257432,2.42875990330491e-10
od_animal_count,-0.442967537586689,NA
pop_den_log,-0.398704252203887,NA
average_income_log,-0.442211681643169,1.03111227575034e-10
poi_log,-0.402523002915818,NA
