"covariate","avg","stderr","ranking","scaling","variation","labels"
"year",2014.99069767441,0.224797154013648,"Q1",0.0671700159899255,0.0690371263730161,"2010
(0.225)"
"year",2015.65429234339,0.223522198450283,"Q2",0.715236068619767,0.0690371263730161,"2020
(0.224)"
"year",2015.60655737704,0.223739539736401,"Q3",0.662806575106526,0.0690371263730161,"2020
(0.224)"
"year",2015.63488372092,0.225106983765266,"Q4",0.694386449102543,0.0690371263730161,"2020
(0.225)"
"age_0_19",19.7693621685357,0.290119331981366,"Q1",0.755888774566293,0.218565243338051,"19.8
(0.29)"
"age_0_19",19.7994170727338,0.299189896486242,"Q2",0.762542437295806,0.218565243338051,"19.8
(0.299)"
"age_0_19",18.8080287151737,0.302904576060127,"Q3",0.503881528849004,0.218565243338051,"18.8
(0.303)"
"age_0_19",16.8005608407357,0.327294606645439,"Q4",0.0781869155372139,0.218565243338051,"16.8
(0.327)"
"age_20_39",30.934757095666,0.460116121886418,"Q1",0.280887981283735,0.295935587368495,"30.9
(0.46)"
"age_20_39",31.0395667609093,0.463744026163396,"Q2",0.291534073989431,0.295935587368495,"31
(0.464)"
"age_20_39",31.6586452387892,0.522678177842071,"Q3",0.357911460131999,0.295935587368495,"31.7
(0.523)"
"age_20_39",37.878202668119,0.645247585504386,"Q4",0.932302509095894,0.295935587368495,"37.9
(0.645)"
"age_40_59",26.5424449016891,0.182879909586714,"Q1",0.800809808482283,0.170102536572991,"26.5
(0.183)"
"age_40_59",26.2725090233652,0.188234952128525,"Q2",0.696442998268935,0.170102536572991,"26.3
(0.188)"
"age_40_59",25.9030078207539,0.235832986144626,"Q3",0.524734329143985,0.170102536572991,"25.9
(0.236)"
"age_40_59",24.6912758730862,0.293706367002594,"Q4",0.0776941078407497,0.170102536572991,"24.7
(0.294)"
"lu_commerce_developped",12.3564738290811,1.17898085391409,"Q1",0.222389981331574,0.18223046565247,"12.4
(1.18)"
"lu_commerce_developped",15.912733007643,1.39405996369494,"Q2",0.454377052676026,0.18223046565247,"15.9
(1.39)"
"lu_commerce_developped",13.4477880586514,1.26853833326366,"Q3",0.286097297860071,0.18223046565247,"13.4
(1.27)"
"lu_commerce_developped",24.4439341161013,1.80645471226647,"Q4",0.925571284615357,0.18223046565247,"24.4
(1.81)"
"lu_residential_community",85.8356209466628,1.25111392968124,"Q1",0.748790075746862,0.172949559889489,"85.8
(1.25)"
"lu_residential_community",83.1453174902051,1.4016856734832,"Q2",0.56403664675532,0.172949559889489,"83.1
(1.4)"
"lu_residential_community",85.6083140658342,1.285362830313,"Q3",0.7348804193188,0.172949559889489,"85.6
(1.29)"
"lu_residential_community",74.5868821520676,1.82035558412968,"Q4",0.0722083007002973,0.172949559889489,"74.6
(1.82)"
"slope",13.1913481020805,0.522868403352276,"Q1",0.782563955021131,0.054604378137344,"13.2
(0.523)"
"slope",12.1664923472482,0.470836993361504,"Q2",0.144842163714232,0.054604378137344,"12.2
(0.471)"
"slope",12.3967876029726,0.495332938976626,"Q3",0.259328683503479,0.054604378137344,"12.4
(0.495)"
"slope",13.2707136969342,0.478072800452611,"Q4",0.822087349107051,0.054604378137344,"13.3
(0.478)"
"ss_visual_complexity",32.7132325581383,0.104433227734445,"Q1",0.324608431518512,0.0877465494113779,"32.7
(0.104)"
"ss_visual_complexity",32.5865504170811,0.111092802045105,"Q2",0.163609645741315,0.0877465494113779,"32.6
(0.111)"
"ss_visual_complexity",32.8430851176295,0.127029650690988,"Q3",0.533139975903131,0.0877465494113779,"32.8
(0.127)"
"ss_visual_complexity",33.1491830137558,0.175484795256804,"Q4",0.911718779825794,0.0877465494113779,"33.1
(0.175)"
"ss_construction",8.02950068710045,0.267850327519498,"Q1",0.234257947115073,0.24002018940791,"8.03
(0.268)"
"ss_construction",9.04653308636659,0.372750508396541,"Q2",0.460643884897647,0.24002018940791,"9.05
(0.373)"
"ss_construction",8.2014444057239,0.21992587174441,"Q3",0.267942530010737,0.24002018940791,"8.2
(0.22)"
"ss_construction",11.5507065482611,0.38583908244528,"Q4",0.925455267900062,0.24002018940791,"11.6
(0.386)"
"ss_road_flat",35.766541799467,0.280614656818375,"Q1",0.17933860450538,0.262706843187431,"35.8
(0.281)"
"ss_road_flat",37.8420192794526,0.218970813387206,"Q2",0.75532667368442,0.262706843187431,"37.8
(0.219)"
"ss_road_flat",38.2692777883256,0.140401639061238,"Q3",0.846757743117896,0.262706843187431,"38.3
(0.14)"
"ss_road_flat",35.9236336795091,0.25762907589788,"Q4",0.212990965603517,0.262706843187431,"35.9
(0.258)"
"ss_marking",0.738008614426633,0.0378367306812271,"Q1",0.14187010683611,0.116115268182854,"0.738
(0.0378)"
"ss_marking",0.80390806512078,0.032723510105921,"Q2",0.357681436535395,0.116115268182854,"0.804
(0.0327)"
"ss_marking",0.850243318674981,0.0380900388164751,"Q3",0.55276423171072,0.116115268182854,"0.85
(0.0381)"
"ss_marking",0.95937711341027,0.0446545606325088,"Q4",0.903878080632965,0.116115268182854,"0.959
(0.0447)"
"ss_nature",3.46904788173635,0.188782370726069,"Q1",0.928067964925833,0.315447992394467,"3.47
(0.189)"
"ss_nature",1.95170711172854,0.110827449739717,"Q2",0.368290604148271,0.315447992394467,"1.95
(0.111)"
"ss_nature",1.55606951833592,0.0578783323658802,"Q3",0.21035639132329,0.315447992394467,"1.56
(0.0579)"
"ss_nature",1.96554910577927,0.101807578086208,"Q4",0.374490833925738,0.315447992394467,"1.97
(0.102)"
"ss_street_object",0.511320580086858,0.0102556317515567,"Q1",0.138167475001286,0.181195831667805,"0.511
(0.0103)"
"ss_street_object",0.544872303845726,0.0103689863493617,"Q2",0.370041775751718,0.181195831667805,"0.545
(0.0104)"
"ss_street_object",0.56490494264003,0.0107248799883206,"Q3",0.547816175985203,0.181195831667805,"0.565
(0.0107)"
"ss_street_object",0.617217241932523,0.0147233257602512,"Q4",0.90323145422588,0.181195831667805,"0.617
(0.0147)"
"od_person_count",0.285235056425714,0.0153195561143533,"Q1",0.294839720881094,0.208378052831762,"0.285
(0.0153)"
