"variable","point_estimate","p_value"
slope,0.725451944376105,NA
ss_visual_complexity,0.755756622358965,NA
ss_construction,0.819359520746209,NA
ss_road_flat,0.667110495551421,0.0600192207599238
ss_marking,0.827379411088552,NA
ss_nature,0.755743897459907,NA
ss_street_object,0.787857519009206,0.0241227754928593
od_person_count,-0.548614569290774,NA
od_bicycle_count,0.622955947519974,0.0737671003333633
od_vehicle_count,0.975668947252537,NA
od_animal_count,0.816542478641131,NA
pop_den_log,0.936224360232939,0.00732745367100056
average_income_log,0.735119948960913,0.0363187408924695
housing_price_log,0.81748910751448,NA
poi_log,0.452971191849301,0.161404691004052
