"variable","point_estimate","p_value"
ss_visual_complexity,0.349219238561544,1.19340100533008e-06
ss_construction,0.0877754770614801,0.187119203336689
ss_road_flat,0.423023227120233,3.14375620067563e-09
ss_marking,0.444640121483129,7.0368252265777e-11
ss_nature,0.462808439968213,1.00494280366116e-11
ss_street_object,0.43759580775428,1.80619935173468e-10
od_person_count,-0.00666990553649762,0.921681822741259
od_bicycle_count,0.32335983039767,3.99930295328056e-06
od_vehicle_count,0.44847785375335,4.19064760425237e-11
od_animal_count,0.444894394743302,6.98977363851883e-11
pop_den_log,0.360263392971655,9.78448039210717e-08
average_income_log,0.409037760160852,1.88530397080327e-09
poi_log,0.168776850288094,0.00980660392741245
