"variable","point_estimate","p_value"
ss_visual_complexity,0.578456750039492,1.90448069710172e-10
slope,0.66291123868292,2.21095008524923e-14
count_log.1,-0.000143930683513702,0.937502484418871
ss_construction,0.472859490344363,3.47248027561397e-08
ss_road_flat,0.639457869672726,8.7220983243607e-13
ss_marking,0.674782720750964,1.0236415372909e-14
ss_nature,0.679010875280432,7.36202890103421e-15
ss_street_object,0.685071402927554,9.33772831575956e-15
od_bicycle_count,0.663456863503093,3.89743806074066e-14
od_vehicle_count,0.71080365671039,1.0271875589868e-16
od_animal_count,0.679348250671071,7.8880888304787e-15
pop_den_log,0.616973769789714,6.56446673343739e-13
average_income_log,0.679351645957217,6.56993046097839e-15
poi_log,0.524635690487082,3.2832217305953e-10
