"variable","point_estimate","p_value"
slope,0.432351422976087,1.41847375728357e-10
ss_visual_complexity,0.339598143675448,1.96760761022423e-06
count_log.1,0.0146914408241518,NA
ss_construction,0.0877591633935102,0.190135355301638
ss_road_flat,0.411522384919994,3.21580778052641e-08
ss_marking,0.424037135132615,3.13081650089665e-10
ss_nature,0.437963606968288,NA
ss_street_object,0.411558857675213,1.83429805768755e-09
od_person_count,-0.00715054615641965,NA
od_bicycle_count,0.29942248945355,2.45417522445958e-05
od_vehicle_count,0.414741017368459,NA
od_animal_count,0.422049962219251,NA
pop_den_log,0.35546918863012,NA
average_income_log,0.389346767464205,NA
poi_log,0.1682989176488,NA
