"variable","point_estimate","p_value"
slope,2.04289004640891,NA
ss_visual_complexity,1.76592076069623,NA
ss_construction,1.5210393572852,NA
ss_road_flat,2.06035718561976,NA
ss_marking,1.99987130634461,3.98687487283237e-13
ss_nature,2.01546117394637,NA
ss_street_object,2.09918119008635,NA
od_person_count,1.5349104743662,NA
od_bicycle_count,2.11929720201212,9.10952936944312e-15
od_vehicle_count,1.67847348831958,NA
od_animal_count,2.08697197968744,NA
pop_den_log,1.60009372727177,1.7294267817388e-08
average_income_log,2.0333353654131,7.58385923871947e-14
housing_price_log,1.90914117264737,NA
poi_log,1.50970204462473,NA
