"variable","point_estimate","p_value"
ss_visual_complexity,0.484755077383489,2.16317921154125e-06
slope,0.533027177271752,8.5850713452399e-08
ss_construction,0.328524782476061,0.000691868601411318
ss_road_flat,0.490929523045367,1.76970691674329e-06
ss_marking,0.556792026620829,2.54476763917603e-08
ss_nature,0.551820126641182,3.5843875331515e-08
ss_street_object,0.555125253583386,3.84507777787567e-08
od_bicycle_count,0.52879123270084,1.36881128471168e-07
od_vehicle_count,0.604283258713027,7.2497547535215e-10
od_animal_count,0.550821464941724,4.12312285331562e-08
pop_den_log,0.547143148508078,1.82262395445632e-08
average_income_log,0.561681736790768,1.92279394000093e-08
poi_log,0.422473273243277,7.4060589348595e-06
