"variable","point_estimate","p_value"
ss_visual_complexity,-0.24672983348479,0.000487600408022236
ss_construction,-0.183113195012293,0.00640923369406337
ss_road_flat,-0.234244298107586,0.00103624437794581
ss_marking,-0.166901535369957,0.0192145141297459
ss_nature,-0.147101869155312,0.0387800820941659
ss_street_object,-0.21272596460395,0.00313211145641266
od_person_count,-0.30709510917793,3.64103387178715e-06
od_bicycle_count,-0.245596234853005,0.00049662774544363
od_vehicle_count,-0.169445001109636,0.0170631875136239
od_animal_count,-0.167063839685161,0.019122568367579
pop_den_log,-0.190312154150071,0.00641106475807467
average_income_log,-0.219657682280631,0.00208296110880919
poi_log,-0.261102289458737,8.3132287864225e-05
