"variable","point_estimate","p_value"
slope,-0.145598413757614,NA
ss_visual_complexity,-0.229303665908688,NA
count_log.1,0.011119606084816,NA
ss_construction,-0.184889423403791,NA
ss_road_flat,-0.242463700283748,NA
ss_marking,-0.165370583188012,NA
ss_nature,-0.141244730700254,NA
ss_street_object,-0.200582445583618,NA
od_person_count,-0.323833707284803,NA
od_bicycle_count,-0.237348366347824,NA
od_vehicle_count,-0.191470793556583,NA
od_animal_count,-0.160838586006019,NA
pop_den_log,-0.212419350634517,0.00336493004665229
average_income_log,-0.209782745637649,0.00431666793615952
poi_log,-0.252974805715763,NA
