"estimate","std.err","covariate","category"
"1.94764762091355e-05","0.0771048157196911","year","low"
"-0.252443715590175","0.074533942695624","year","high"
"-0.129707528204775","0.0752861187604496","age_0_19","low"
"-0.0839884084518235","0.0903025172417733","age_0_19","high"
"-0.213920199002574","0.0836525379980403","age_20_39","low"
"-0.115764524479778","0.0740835242186041","age_20_39","high"
"-0.194677043275858","0.0814063440862727","age_40_59","low"
"-0.0820996501447573","0.0789806341317539","age_40_59","high"
"-0.0314734183250937","0.0689143452366389","lu_commerce_developped","low"
"-0.197188124415953","0.0827708768787851","lu_commerce_developped","high"
"-0.218143609109742","0.0825656677400154","lu_residential_community","low"
"-0.00372864119860775","0.0704083437425939","lu_residential_community","high"
"-0.0948408432620862","0.0723313600735755","slope","low"
"-0.197367581104564","0.0831006264427062","slope","high"
"-0.0792331845776539","0.0947099810351062","ss_visual_complexity","low"
"-0.0841942596032763","0.127028010006307","ss_visual_complexity","high"
"-0.0365912816728031","0.10406878828289","ss_construction","low"
"-0.255052794064438","0.0759265505296588","ss_construction","high"
"-0.177457004739298","0.0755304706346286","ss_road_flat","low"
"-0.112309417587837","0.0957734286556843","ss_road_flat","high"
"-0.0495555630046329","0.0775115246841529","ss_marking","low"
"-0.168946507978356","0.0776926807028731","ss_marking","high"
"-0.289156553750068","0.0735878716005908","ss_nature","low"
"0.0242281629308932","0.0820536354165185","ss_nature","high"
"-0.117983674376845","0.0915866937890299","ss_street_object","low"
"-0.23474751205174","0.0827835042518219","ss_street_object","high"
"-0.0847944177660827","0.0926284811161461","od_person_count","low"
"-0.170372665524645","0.0706617245195408","od_person_count","high"
"0.0246195621806265","0.0784666862551665","od_bicycle_count","low"
"-0.306723703308602","0.082781828295532","od_bicycle_count","high"
"-0.108881083664627","0.08771009848538","od_vehicle_count","low"
"-0.134967767199788","0.0687577858895386","od_vehicle_count","high"
"-0.115972945225938","0.0603984540810214","od_animal_count","low"
"-0.119155933069967","0.266310160084669","od_animal_count","high"
"-0.0281929726757195","0.0858461930647616","pop_den_log","low"
"-0.250352511766911","0.069828433580503","pop_den_log","high"
"-0.0973722487459342","0.0872088334839496","average_income_log","low"
"-0.15372409276237","0.0728705446982437","average_income_log","high"
"-0.00216390083223621","0.0790169612527967","housing_price_log","low"
"-0.264997255860137","0.0724898439407277","housing_price_log","high"
"0.0141907296519923","0.0858195499232883","poi_log","low"
"-0.292119179843699","0.069961610410375","poi_log","high"
