"","pr_score","count_point_id","year","month","treatment"
"1",0.000850663261650832,1,"2016","9",0
"2",0.143084054837955,1000,"2009","4",0
"3",0.00750091235167991,1003,"2009","4",0
"4",0.11495036457811,1008,"2009","5",0
"5",1.84824711453624e-05,1011,"2009","4",0
"6",0.39592184009174,1013,"2009","5",1
"7",0.00528688469471343,1014,"2009","4",0
"8",0.7510832009717,1015,"2009","5",1
"9",1.67214039099957e-06,1028,"2009","3",0
"10",0.754904015399338,1032,"2009","5",0
"11",0.153870179136189,1034,"2009","4",0
"12",0.00723642903084707,1035,"2021","11",0
"13",0.818932140563036,1040,"2021","9",1
"14",0.00129393305463486,1051,"2009","5",0
"15",0.633187564015008,1052,"2021","5",1
"16",0.0433094260742232,1053,"2021","5",1
"17",0.165278074215217,1056,"2009","4",0
"18",1.01991990628387e-05,1058,"2021","5",0
"19",0.0766412061238034,1059,"2009","4",0
"20",8.95487421582408e-06,1061,"2009","3",0
"21",6.8385685617528e-05,1064,"2021","5",0
"22",7.11984232109446e-08,1065,"2009","3",0
"23",4.95980619635785e-06,1068,"2009","4",0
"24",0.0133698503620924,1069,"2009","3",0
"25",0.466086167021458,1076,"2009","6",0
"26",0.369372677235636,1077,"2009","5",1
"27",0.0173924014471292,1088,"2009","3",0
"28",0.0350545952047884,1089,"2009","5",1
"29",0.0925378066065128,1090,"2009","5",0
"30",3.97998229442172e-06,1091,"2009","3",0
"31",0.00606598366275462,1100,"2021","4",0
"32",0.00753393269458712,1100,"2021","5",0
"33",0.966703476975189,1117,"2009","5",1
"34",0.390824256606328,112,"2014","10",0
"35",0.166617618198786,1121,"2021","4",0
"36",0.0959652316590434,1124,"2021","11",0
"37",0.0329119338318383,1129,"2009","6",0
"38",0.116233168229296,1132,"2009","4",0
"39",0.0135139432859402,1134,"2009","3",0
"40",0.00508453862681374,1135,"2009","3",0
"41",0.000759933367434929,1136,"2009","4",0
"42",0.931085187815381,1137,"2021","5",1
"43",0.732174925661585,1141,"2009","3",1
"44",0.000289352498760804,1157,"2021","9",0
"45",0.604986656207286,116,"2021","5",1
"46",2.07963532750731e-08,1161,"2009","3",0
"47",0.00454837166985102,1163,"2021","5",1
"48",0.00574419068965549,1165,"2009","4",0
"49",0.102418002653423,1167,"2018","10",0
"50",0.0331099437193082,1167,"2018","9",0
"51",0.216393728095463,117,"2021","5",0
"52",0.0125068460837134,1170,"2021","4",0
"53",0.0155091424879911,1170,"2021","5",0
"54",0.000432179335397015,1184,"2021","5",0
"55",1.17271023716105e-06,1185,"2009","5",0
"56",0.0616914084822153,1187,"2009","4",0
"57",0.072049363712339,1194,"2009","3",0
"58",0.64387449513591,1199,"2009","4",1
"59",0.00193384377079794,1200,"2009","3",0
"60",0.000845410694794316,1201,"2009","4",0
"61",0.00227942259483471,1202,"2009","4",0
"62",0.0876906248385508,1203,"2009","4",0
"63",5.70891388274873e-06,1206,"2021","11",0
"64",0.0251134758346452,1207,"2009","5",0
"65",2.22044604925031e-16,1208,"2021","10",0
"66",1.28110755437426e-08,1212,"2021","10",1
"67",0.98417022878274,1213,"2009","5",1
"68",0.930354489931448,1214,"2021","10",1
"69",0.0479783048478617,1217,"2009","4",0
"70",0.269428061548397,1219,"2021","10",0
"71",0.0348607409469696,1219,"2021","4",0
"72",0.0429954994999951,1219,"2021","5",0
"73",0.825143901598945,122,"2021","11",1
"74",0.131624947431779,1223,"2009","3",0
"75",0.610576917775519,1224,"2022","8",1
"76",0.705497858471477,1226,"2022","5",1
"77",0.311415004292335,1230,"2009","5",0
"78",0.342277515457259,1231,"2009","4",1
"79",0.00216105683423949,1239,"2009","4",0
"80",0.0304901624598089,1240,"2009","4",0
"81",0.00215799308876412,1241,"2009","4",0
"82",0.0480565277266495,1243,"2009","5",0
"83",0.0800860510531496,1247,"2009","5",0
"84",0.0685134622925426,1249,"2009","5",0
"85",0.81323822607432,1252,"2009","3",1
"86",0.00567460615284018,1256,"2009","4",0
"87",1.32424283184352e-06,1258,"2009","3",0
"88",0.554723650366792,1259,"2009","4",1
"89",0.988290934042132,126,"2021","10",1
"90",0.959655915953076,126,"2021","11",1
"91",0.500498854262897,1264,"2009","4",1
"92",6.56017864999286e-06,1265,"2021","5",0
"93",1.86771172818018e-05,1266,"2009","3",0
"94",1.42553130458488e-06,1267,"2009","3",0
"95",6.45561611644545e-05,1278,"2022","11",0
"96",0.960256336073136,128,"2021","11",1
"97",0.00165204728442672,1280,"2022","11",0
