"variable","point_estimate","p_value"
ss_visual_complexity,-0.41034133568776,4.52086664556271e-06
slope,-0.19448254075467,0.0281213764333759
ss_construction,-0.0081473066128366,0.92468538510315
ss_road_flat,-0.305664716016656,0.00049007711891654
ss_marking,-0.236736679661781,0.00719360945237833
ss_nature,-0.245400569825029,0.00539974318196566
ss_street_object,-0.232759230006142,0.0111053738371508
od_bicycle_count,-0.252592403917928,0.00400192721608153
od_vehicle_count,-0.321359737220048,0.00021531008635479
od_animal_count,-0.245378081062368,0.00532458215675443
pop_den_log,-0.197499321704445,0.0200544597150137
average_income_log,-0.227996426638023,0.0097447159160382
poi_log,-0.285264647448102,0.000478676300325744
