"variable","point_estimate","p_value"
ss_visual_complexity,-0.349825532898157,0.000212967515833403
slope,-0.130970355127263,0.157657389437653
count_log.1,0.000234184418014966,0.915179126677399
ss_construction,0.0370034106149221,0.679426547295241
ss_road_flat,-0.242309685109238,0.00874730315449022
ss_marking,-0.159812502149691,0.0845949198889364
ss_nature,-0.167855382072514,0.0704583459137378
ss_street_object,-0.151138906531992,0.11458398478949
od_person_count,-0.125457694418113,0.147018755644937
od_bicycle_count,-0.176998405748337,0.0551534140847914
od_vehicle_count,-0.254245754125228,0.00549724975572211
od_animal_count,-0.16913670300428,0.0676495062204198
pop_den_log,-0.153688728397769,0.0846535945318767
average_income_log,-0.147224806708934,0.112968562669463
poi_log,-0.225399794517729,0.00873599994412938
