"estimate","std.err","covariate","category"
"0.0895362500463398","0.205887151181773","age_0_19","0-33%"
"0.0405935145417158","0.18693170401911","age_0_19","33-66%"
"-0.157770671031019","0.235059628571694","age_0_19","66-100%"
"-0.0704692647576318","0.197714263870104","age_20_39","0-33%"
"-0.274642467452182","0.240920818307435","age_20_39","33-66%"
"0.00550710643007271","0.206537292427359","age_20_39","66-100%"
"-0.0811847811067097","0.17354370797026","age_40_59","0-33%"
"-0.434274441912011","0.300474197861653","age_40_59","33-66%"
"0.310987719417746","0.13859960650047","age_40_59","66-100%"
"0.341085588974256","0.132379609421344","lu_residential_community","0-33%"
"-0.295244385881185","0.279322066759578","lu_residential_community","33-66%"
"-0.190983692330135","0.165552319997383","lu_residential_community","66-100%"
"-0.511491055461081","0.629109254791499","ss_visual_complexity","0-33%"
"0.0491246423574961","0.313400069244895","ss_visual_complexity","33-66%"
"-0.155515018603575","0.145227380166095","ss_visual_complexity","66-100%"
"-0.274488988489627","0.265528454488776","slope","0-33%"
"0.0299411156861319","0.210800642559644","slope","33-66%"
"0.120243026231604","0.199970710590316","slope","66-100%"
"-0.0124107192668823","0.248467157671481","ss_construction","0-33%"
"0.294929001610551","0.177111998595668","ss_construction","33-66%"
"-0.359745570350691","0.191134875682066","ss_construction","66-100%"
"-0.0957703726622615","0.162524407069131","ss_road_flat","0-33%"
"0.0609189615112365","0.198059165253532","ss_road_flat","33-66%"
"-0.359784580012012","0.379249913662507","ss_road_flat","66-100%"
"-0.20293380886578","0.258954882719912","ss_marking","0-33%"
"0.0233524244854924","0.2276056332178","ss_marking","33-66%"
"-0.0202212199872622","0.131622569813655","ss_marking","66-100%"
"0.143543990956819","0.134945981541411","ss_nature","0-33%"
"-0.330082686030038","0.196553417799066","ss_nature","33-66%"
"0.23723297793744","0.287486081021656","ss_nature","66-100%"
"-0.132906858913801","0.200869292041199","ss_street_object","0-33%"
"0.0185965727022248","0.19311480789515","ss_street_object","33-66%"
"-0.0415315203873921","0.214548082506786","ss_street_object","66-100%"
"0.353052301217838","0.200267550184819","od_vehicle_count","0-33%"
"-0.0526291736697737","0.203672680436449","od_vehicle_count","33-66%"
"-0.225345601139278","0.214401268489295","od_vehicle_count","66-100%"
"0.252877006852642","0.266078586410965","pop_den_log","0-33%"
"-0.201265097475992","0.183301358036294","pop_den_log","33-66%"
"-0.170624632536972","0.18405491266783","pop_den_log","66-100%"
"-0.122359880422359","0.332131767811184","average_income_log","0-33%"
"-0.122494481444703","0.207854839756264","average_income_log","33-66%"
"-0.00478388923184814","0.153533984046939","average_income_log","66-100%"
"0.0146914498067147","0.283917818921979","poi_log","0-33%"
"-0.287829461705003","0.251106907285882","poi_log","33-66%"
"-0.0397470264021644","0.120739152134142","poi_log","66-100%"
