
z test of coefficients:

                                 Estimate  Std. Error  z value  Pr(>|z|)    
(Intercept)                    4.04801734  0.70236792   5.7634 8.244e-09 ***
sidewalk_binary_90_percentile  0.04151556  0.00491538   8.4461 < 2.2e-16 ***
year2009                      -0.02284652  0.02123165  -1.0761 0.2819007    
year2011                      -0.17126668  0.03814029  -4.4904 7.108e-06 ***
year2012                      -0.14577773  0.01920507  -7.5906 3.185e-14 ***
year2014                      -0.15593780  0.01950660  -7.9941 1.305e-15 ***
year2015                      -0.12709351  0.01852338  -6.8612 6.826e-12 ***
year2016                      -0.13118163  0.01912368  -6.8596 6.903e-12 ***
year2017                      -0.13567741  0.01916200  -7.0805 1.436e-12 ***
year2018                      -0.17011833  0.01986322  -8.5645 < 2.2e-16 ***
year2019                      -0.16921109  0.01997721  -8.4702 < 2.2e-16 ***
year2020                      -0.11129372  0.01986962  -5.6012 2.129e-08 ***
building                      -0.14148852  0.04050191  -3.4934 0.0004769 ***
road                           0.64943318  0.06122595  10.6072 < 2.2e-16 ***
vegetation                    -0.08310914  0.04973254  -1.6711 0.0946976 .  
sky                           -0.58003757  0.07503505  -7.7302 1.074e-14 ***
terrain                       -0.52681236  0.15749273  -3.3450 0.0008228 ***
person_count_log               0.02850556  0.00285668   9.9786 < 2.2e-16 ***
bicycle_count_log              0.01991595  0.00420851   4.7323 2.220e-06 ***
vehicle_count_log              0.02126859  0.00335897   6.3319 2.422e-10 ***
X0_9                          -3.03311642  0.70408823  -4.3079 1.648e-05 ***
X10_19                        -2.57145791  0.70391392  -3.6531 0.0002591 ***
X20_29                        -2.21301154  0.70163699  -3.1541 0.0016101 ** 
X30_39                        -2.27521841  0.69741789  -3.2623 0.0011049 ** 
X40_49                        -2.14952330  0.71881757  -2.9904 0.0027865 ** 
X50_59                        -2.20667296  0.70151224  -3.1456 0.0016575 ** 
X60_69                        -2.22230843  0.70281419  -3.1620 0.0015668 ** 
X70_79                        -2.32137963  0.75935452  -3.0570 0.0022353 ** 
X80_89                        -4.45201764  0.93515113  -4.7607 1.929e-06 ***
IMD_score                      0.00093115  0.00024416   3.8137 0.0001369 ***
poi_log                        0.06156649  0.00340697  18.0708 < 2.2e-16 ***
slope                         -0.02920431  0.00284932 -10.2496 < 2.2e-16 ***
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

