"","variable","point_estimate","p_value"
"1",bicycle,7.04221531074807,NA
"2",building,6.16433384770369,1.92373065449147e-173
"3",bus,6.64002692299637,6.03892439912125e-203
"4",car,6.71892993668756,4.21277787965512e-196
"5",fence,6.91832029874573,8.11346090589707e-206
"6",motorcycle,6.93717026680535,8.71630478031308e-207
"7",pole,6.84195346075043,2.08324453426139e-200
"8",rider,6.78976359508442,6.24322611764652e-200
"9",road,8.97616357438525,0
"10",sky,7.87715620862138,6.57690301376733e-294
"11",terrain,7.19466899639841,3.15279201422689e-218
"12",traffic.light,7.19127920049426,7.51629727624316e-218
"13",traffic.sign,7.2585617278314,1.27944844117232e-221
"14",train,7.31517806720088,2.96408070433964e-224
"15",truck,7.84533256689554,4.24073843530169e-254
"16",vegetation,7.15820825112182,9.83116147973631e-197
"17",wall,7.30067951323815,2.07720382699822e-198
"18",visual_complexity,6.09689618482103,1.48727071639744e-118
"19",person_count,6.60562425480563,5.46661190150104e-141
"20",bicycle_count,6.55505222385598,4.8911039520884e-139
"21",vehicle_count,6.58127783221255,1.72199943922063e-140
"22",IMD_score,6.45532124806507,4.09674687881939e-136
"23",poi,6.17703584882832,3.07982342880613e-125
"24",slope,6.37229658063082,4.08090284237383e-136
