"covariate","avg","stderr","ranking","scaling","variation","labels"
"year",2014.99948462466,0.0461814585795265,"Q1",0.50289345592868,0.0430084748798685,"2010
(0.0462)"
"year",2014.99673202616,0.0453140081855019,"Q2",0.49542775897157,0.0430084748798685,"2010
(0.0453)"
"year",2014.81858864009,0.0453850016294249,"Q3",0.110740147084428,0.0430084748798685,"2010
(0.0454)"
"year",2015.17886597938,0.0422845239859099,"Q4",0.890052928668586,0.0430084748798685,"2020
(0.0423)"
"ss_building",0.125730568154506,0.00163507160843622,"Q1",0.120511556116698,0.586744372580367,"0.126
(0.00164)"
"ss_building",0.21164523011951,0.00207723990292582,"Q2",0.359251882158545,0.586744372580367,"0.212
(0.00208)"
"ss_building",0.288519849684195,0.00218299584548128,"Q3",0.642846594453183,0.586744372580367,"0.289
(0.00218)"
"ss_building",0.373245447525864,0.00219951230643526,"Q4",0.878357349909744,0.586744372580367,"0.373
(0.0022)"
"ss_road",0.212136751596634,0.000714557424160376,"Q1",0.866960489794058,0.231033950262587,"0.212
(0.000715)"
"ss_road",0.203655823424463,0.000670382133314782,"Q2",0.661170901045594,0.231033950262587,"0.204
(0.00067)"
"ss_road",0.194894421982878,0.000670289410354673,"Q3",0.380621440466549,0.231033950262587,"0.195
(0.00067)"
"ss_road",0.183690451865617,0.000651773475800611,"Q4",0.11048567541924,0.231033950262587,"0.184
(0.000652)"
"ss_sky",0.229081937157193,0.0012858431838584,"Q1",0.899427269781624,0.539659309304636,"0.229
(0.00129)"
"ss_sky",0.176036119160337,0.00106544182972656,"Q2",0.575979913378523,0.539659309304636,"0.176
(0.00107)"
"ss_sky",0.148026771403146,0.000941895928414387,"Q3",0.351168150042918,0.539659309304636,"0.148
(0.000942)"
"ss_sky",0.113584168861276,0.000849182945566182,"Q4",0.138353645092706,0.539659309304636,"0.114
(0.000849)"
"ss_terrain",0.0546672580537468,0.000801893379768065,"Q1",0.906558234367737,0.376059335214663,"0.0547
(0.000802)"
"ss_terrain",0.0338409406550227,0.000627590650005195,"Q2",0.568450004494078,0.376059335214663,"0.0338
(0.000628)"
"ss_terrain",0.021516897045054,0.000496294612516726,"Q3",0.306230575558245,0.376059335214663,"0.0215
(0.000496)"
"ss_terrain",0.0128199662539558,0.000385485668136689,"Q4",0.162135116612671,0.376059335214663,"0.0128
(0.000385)"
"ss_vegetation",0.256919559440969,0.00202539055986603,"Q1",0.853800702856185,0.266383687217506,"0.257
(0.00203)"
"ss_vegetation",0.234520526807689,0.00214880880224281,"Q2",0.69790204410609,0.266383687217506,"0.235
(0.00215)"
"ss_vegetation",0.198339965982259,0.00203184087576988,"Q3",0.365052920391929,0.266383687217506,"0.198
(0.00203)"
"ss_vegetation",0.161408433881412,0.00180820062501557,"Q4",0.110049362211955,0.266383687217506,"0.161
(0.00181)"
"od_person_count",1.97783885930251,0.0585550741000524,"Q1",0.12808192305034,0.36907590134739,"1.98
(0.0586)"
"od_person_count",4.49587203302384,0.0986426689243594,"Q2",0.371911589283978,0.36907590134739,"4.5
(0.0986)"
"od_person_count",6.18003442340735,0.108470616863044,"Q3",0.584766777909753,0.36907590134739,"6.18
(0.108)"
"od_person_count",9.3998281786942,0.137934665373807,"Q4",0.894020387505323,0.36907590134739,"9.4
(0.138)"
"od_bicycle_count",0.113038996735956,0.00758992310356729,"Q1",0.1178511190669,0.150360736238453,"0.113
(0.00759)"
"od_bicycle_count",0.314929480564157,0.0179985260592618,"Q2",0.407696225563656,0.150360736238453,"0.315
(0.018)"
"od_bicycle_count",0.40550774526673,0.0183920479230252,"Q3",0.576827790778937,0.150360736238453,"0.406
(0.0184)"
"od_bicycle_count",0.624226804123708,0.0249873421493849,"Q4",0.889804297023871,0.150360736238453,"0.624
(0.025)"
"od_vehicle_count",8.83164404741449,0.141971995439622,"Q1",0.0763751084150361,0.221562886805718,"8.83
(0.142)"
"od_vehicle_count",12.3350533195736,0.144547503807295,"Q2",0.519668111431465,0.221562886805718,"12.3
(0.145)"
"od_vehicle_count",13.8456110154893,0.136822467742194,"Q3",0.753992149026665,0.221562886805718,"13.8
(0.137)"
"od_vehicle_count",13.8606529209621,0.126229235890903,"Q4",0.755988706159195,0.221562886805718,"13.9
(0.126)"
"X0_9",0.130145582228676,0.000414874015044632,"Q1",0.858115902336066,0.224394364062535,"0.13
(0.000415)"
"X0_9",0.123158676325676,0.000442047392732821,"Q2",0.587754477759927,0.224394364062535,"0.123
(0.000442)"
"X0_9",0.121728990008668,0.000460881993666681,"Q3",0.519069228341462,0.224394364062535,"0.122
(0.000461)"
"X0_9",0.110310709787337,0.000554810216566779,"Q4",0.0898818610917153,0.224394364062535,"0.11
(0.000555)"
"X10_19",0.110592430359937,0.000467803551584355,"Q1",0.906331482837912,0.212499432317282,"0.111
(0.000468)"
"X10_19",0.101735482747081,0.00043579625534254,"Q2",0.564965357811267,0.212499432317282,"0.102
(0.000436)"
"X10_19",0.0968020072921926,0.000451212082789182,"Q3",0.315704585277414,0.212499432317282,"0.0968
(0.000451)"
"X10_19",0.0927944304944917,0.000502992952495265,"Q4",0.158093570686409,0.212499432317282,"0.0928
(0.000503)"
"X20_29",0.14226521971921,0.000726143836089182,"Q1",0.105655228099831,0.369114391725013,"0.142
(0.000726)"
"X20_29",0.16927767958737,0.000918566845835648,"Q2",0.390309134957572,0.369114391725013,"0.169
(0.000919)"
"X20_29",0.18966008611087,0.000950810067011888,"Q3",0.675267241798821,0.369114391725013,"0.19
(0.000951)"
"X20_29",0.206885262697364,0.00110871709601652,"Q4",0.858583890617095,0.369114391725013,"0.207
(0.00111)"
"X30_39",0.167478598828089,0.000689481911650185,"Q1",0.0950285550746616,0.307071173868833,"0.167
(0.000689)"
"X30_39",0.186211389229648,0.00077261192173632,"Q2",0.40552279373093,0.307071173868833,"0.186
(0.000773)"
"X30_39",0.20197537629216,0.000712778076297953,"Q3",0.746164607070917,0.307071173868833,"0.202
(0.000713)"
"X30_39",0.205901742590268,0.000701575762216843,"Q4",0.812465582895108,0.307071173868833,"0.206
(0.000702)"
"X40_49",0.144520271551406,0.000280663662220967,"Q1",0.920014273390713,0.110447210882081,"0.145
(0.000281)"
