
z test of coefficients:

                              Estimate  Std. Error  z value  Pr(>|z|)    
(Intercept)                 1.45450711  0.88189024   1.6493 0.0990849 .  
slope_binary_90_percentile -0.13364902  0.00853469 -15.6595 < 2.2e-16 ***
year2009                   -0.07446304  0.02529592  -2.9437 0.0032434 ** 
year2010                    0.07796481  0.05769386   1.3514 0.1765821    
year2011                   -0.34752781  0.13495471  -2.5751 0.0100198 *  
year2012                   -0.18113095  0.02310471  -7.8396 4.521e-15 ***
year2014                   -0.14428833  0.02166587  -6.6597 2.744e-11 ***
year2015                   -0.08580703  0.02101632  -4.0829 4.448e-05 ***
year2016                   -0.09180786  0.02198238  -4.1764 2.961e-05 ***
year2017                   -0.10706959  0.02186527  -4.8968 9.742e-07 ***
year2018                   -0.17416617  0.02361178  -7.3762 1.628e-13 ***
year2019                   -0.15121137  0.02300262  -6.5737 4.909e-11 ***
year2020                   -0.06140698  0.02556384  -2.4021 0.0163011 *  
building                    0.25583035  0.06739546   3.7960 0.0001471 ***
road                        0.02537756  0.10455532   0.2427 0.8082231    
vegetation                  0.42637814  0.07585288   5.6211 1.897e-08 ***
sky                        -0.47859465  0.11423455  -4.1896 2.795e-05 ***
terrain                    -0.58484075  0.13405551  -4.3627 1.285e-05 ***
person_count_log            0.05227936  0.00502369  10.4066 < 2.2e-16 ***
bicycle_count_log           0.01707947  0.00911768   1.8732 0.0610372 .  
vehicle_count_log           0.04083553  0.00448905   9.0967 < 2.2e-16 ***
X0_9                       -0.73374707  0.88849329  -0.8258 0.4088988    
X10_19                     -0.33994304  0.89597229  -0.3794 0.7043816    
X20_29                      0.35964107  0.88189487   0.4078 0.6834169    
X30_39                      0.01973121  0.89245483   0.0221 0.9823611    
X40_49                      0.44268609  0.90220787   0.4907 0.6236601    
X50_59                     -0.23550495  0.91413838  -0.2576 0.7966963    
X60_69                     -0.66765709  0.88370922  -0.7555 0.4499390    
X70_79                     -0.66175719  0.95297043  -0.6944 0.4874218    
X80_89                     -0.53570543  1.25182867  -0.4279 0.6686960    
IMD_score                   0.00197620  0.00050207   3.9361 8.281e-05 ***
poi_log                     0.06953693  0.00471763  14.7398 < 2.2e-16 ***
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

