"variable","point_estimate","p_value"
ss_bicycle,-0.0877151494705986,3.19538101763329e-45
ss_building,-0.0867720482149704,6.45865974604292e-44
ss_bus,-0.0878397356209106,3.78007595078207e-45
ss_car,-0.0883733734898965,2.42038937761257e-45
ss_fence,-0.0871257377882938,4.85642577489985e-44
ss_motorcycle,-0.08843374885743,1.83636582659936e-45
ss_person,-0.0903502409410812,5.19081429074336e-48
ss_pole,-0.0888659323479786,7.47338406673348e-46
ss_rider,-0.087387090327817,8.33955663668101e-45
ss_road,-0.0840008569377011,3.84316557388866e-41
ss_sidewalk,-0.0882693522267428,4.13495976583968e-46
ss_sky,-0.116265915226994,8.51594872100594e-78
ss_terrain,-0.0930227289761866,2.26304658592896e-51
ss_traffic.light,-0.0900107497362797,8.82056750219074e-47
ss_traffic.sign,-0.0882936873575628,2.5414969620937e-45
ss_train,-0.0880601265902836,4.25702136785826e-45
ss_truck,-0.0887584064754465,5.3884545317147e-46
ss_vegetation,-0.0878873333420461,4.39057007052116e-44
ss_wall,-0.0879058884424456,9.88046752573443e-45
ss_visual_complexity,-0.0829668837295299,1.65493670963783e-40
od_person_count,-0.0918264831751239,4.07901362404018e-51
od_bicycle_count,-0.0841416571838084,7.54989858843765e-42
od_vehicle_count,-0.0877749235847001,2.08390777061625e-45
IMD_score,-0.0873599860924228,3.40855201083875e-44
housing_price_log,-0.114182419119556,4.73504811671727e-81
pop_den_log,-0.0773782293922924,2.82991899986653e-35
lu_undeveloped_land,-0.0885983518921036,1.78834832837619e-45
lu_vacant,-0.0885971390752587,1.79339773905968e-45
poi_log,-0.115979100206232,3.43359152349891e-83
