"variable","point_estimate","p_value"
year,-0.10459584602516,NA
ss_bicycle,-0.110169912850389,0
ss_building,-0.109389726621528,0
ss_bus,-0.10962336365461,0
ss_car,-0.10916351349529,0
ss_fence,-0.10706478462372,0
ss_motorcycle,-0.109648992503394,0
ss_person,-0.112478381576328,0
ss_pole,-0.107867805780573,0
ss_rider,-0.111723246288547,0
ss_road,-0.10382388766878,0
ss_sidewalk,-0.109656759601176,0
ss_sky,-0.117425306624112,0
ss_terrain,-0.121138348838641,0
ss_traffic.light,-0.107493399579442,0
ss_traffic.sign,-0.109211826534182,0
ss_train,-0.10930526938774,0
ss_truck,-0.110559274677396,0
ss_vegetation,-0.10913643611991,0
ss_wall,-0.107599031340333,0
ss_visual_complexity,-0.111926778675307,0
od_person_count,-0.115946399298263,0
od_bicycle_count,-0.103466627885593,0
od_vehicle_count,-0.113145178267359,0
all_ages,-0.109005216149193,NA
IMD_score,-0.0996044445441185,0
housing_price,-0.123067577100424,NaN
pop_den,-0.108799220227052,NA
poi,-0.121416082690778,0
