"variable","point_estimate","p_value"
ss_bicycle,-0.515273420812021,1.82890756238508e-106
ss_building,-0.509490164164664,5.32652279145287e-104
ss_bus,-0.513353566440366,6.89409034420891e-105
ss_car,-0.514299395047176,3.33168104225005e-104
ss_fence,-0.516606067445103,1.04977604928727e-104
ss_motorcycle,-0.516403887644635,3.8714190018016e-105
ss_person,-0.534410784826616,1.05673281338715e-114
ss_pole,-0.517210284230747,2.68533308776465e-105
ss_rider,-0.506222415189705,2.14975023953895e-102
ss_road,-0.485834608000434,1.92570454737554e-93
ss_sidewalk,-0.500365580693613,4.65745409423173e-101
ss_sky,-0.611253899929984,2.24415344829228e-153
ss_terrain,-0.517324556611287,1.35820206372363e-110
ss_traffic.light,-0.521820850848964,6.10186124962645e-107
ss_traffic.sign,-0.515047434039375,1.78724475055852e-104
ss_train,-0.515369101269847,1.09133238401654e-104
ss_truck,-0.519793616654871,4.73967651306882e-107
ss_vegetation,-0.516144349039215,5.31432451227597e-104
ss_wall,-0.515049110988202,1.91711561018362e-104
ss_visual_complexity,-0.485753354443961,4.20506049871015e-94
od_person_count_log,-0.503846333778354,1.3712073846808e-114
od_bicycle_count_log,-0.494864394723441,4.55684731724789e-100
od_vehicle_count_log,-0.479583093234579,2.57826972675352e-95
IMD_score_log,-0.507683553874477,3.67566991360321e-101
housing_price_log,-0.693228665851485,3.39932960259636e-223
pop_den_log,-0.49003061068087,7.07670829596434e-96
poi_log,-0.59531176126609,4.36291499133021e-168
