"variable","point_estimate","p_value"
ss_bicycle,4.95912820479929,1.51229816552896e-122
ss_building,4.88794346136278,1.13737080065987e-116
ss_bus,5.29017284116619,7.41152084560896e-138
ss_car,5.13547892428628,4.6984979358509e-122
ss_fence,4.93021582706402,3.21374866742181e-119
ss_motorcycle,5.00140472087913,1.87572314188983e-123
ss_person,4.97238957959974,1.89842977385575e-123
ss_pole,4.90186031016923,6.01901422375564e-117
ss_rider,5.00553158172927,4.06342106252345e-125
ss_road,5.61063699835731,1.31935864278713e-157
ss_sky,4.53868701671422,3.53850224051534e-103
ss_terrain,3.94039697838816,3.38227794583464e-76
ss_traffic.light,4.91521876361628,2.78497006278542e-119
ss_traffic.sign,4.99651718230082,2.26344834225753e-123
ss_train,5.03867169500574,3.66957592801983e-125
ss_truck,5.18156600701483,2.55366502902719e-131
ss_vegetation,4.97807561526776,2.1697049476739e-122
ss_wall,4.99729335616969,1.80277025462125e-123
ss_visual_complexity,4.79531430507673,4.52985329337543e-115
od_person_count,4.80971453396183,3.82335438527689e-120
od_bicycle_count,4.86238274306469,4.70913957699777e-119
od_vehicle_count,5.17330704773045,3.66263163507264e-134
IMD_score,4.9662380569726,8.47214740575836e-122
housing_price_log,4.72837075921508,4.93944651264426e-117
pop_den_log,4.58246703699914,1.16691935750312e-105
lu_undeveloped_land,4.96066073304782,6.53082069248091e-122
lu_vacant,4.96069135234731,6.5121849570383e-122
poi_log,3.9919684688883,2.52904393035672e-85
slope,4.98159892793171,1.50439474580355e-123
