"variable","point_estimate","p_value"
year,2.25282808632591,NA
ss_bicycle,2.43395895495831,0
ss_building,2.47779173970288,0
ss_bus,2.71327006332195,0
ss_car,2.63918883920775,0
ss_fence,2.25954976987644,0
ss_motorcycle,2.47138488740305,0
ss_person,2.52357514320001,0
ss_pole,2.25649036877452,0
ss_rider,2.49097156357185,0
ss_road,3.1600613263123,0
ss_sky,2.22493741899107,0
ss_terrain,1.73521424210395,0
ss_traffic.light,2.37420951865936,0
ss_traffic.sign,2.45136074686948,0
ss_train,2.50238368317503,0
ss_truck,2.56934953270766,0
ss_vegetation,2.4451845776031,0
ss_wall,2.4092169581515,0
ss_visual_complexity,2.41800276489207,0
od_person_count,2.35471293041155,0
od_bicycle_count,2.27397982269118,0
od_vehicle_count,2.72434257692732,0
all_ages,2.45656309762937,NA
IMD_score,2.33792581477462,0
housing_price,2.38855827689859,NaN
pop_den,2.4534636520815,NA
poi,2.1751838392264,0
slope,2.46343068245707,0
