"variable","point_estimate","p_value"
ss_bicycle,-0.0855884339142252,0.0936852872644541
ss_building,0.232540590207411,0.000859295200738836
ss_bus,-0.0798699458677785,0.118015713812184
ss_car,-0.157695080042001,0.00225978754177805
ss_fence,-0.115302770892835,0.0243371114703165
ss_motorcycle,-0.126857864771777,0.0130583550709408
ss_person,0.0153983853134062,0.766809288294646
ss_pole,-0.0767637105180094,0.138694502582744
ss_rider,-0.112133931900452,0.0275628198647249
ss_road,-0.131648899958283,0.00921905652203523
ss_sidewalk,-0.0839414296744097,0.0945653313552633
ss_sky,-0.846900335125636,7.90469078911028e-49
ss_terrain,0.221310831028768,2.14006495358402e-05
ss_traffic.light,-0.106480094807943,0.0372062375126905
ss_traffic.sign,-0.126545118502141,0.0132961923801719
ss_train,-0.113170094948888,0.0273713363988966
ss_truck,-0.102892185038909,0.0443184174187711
ss_wall,-0.123834515676653,0.0156753583935409
ss_visual_complexity,-0.0751845225017623,0.130019009016849
od_person_count,0.244731075724988,2.12480098276751e-06
od_bicycle_count,-0.0586411212934817,0.249063816999119
od_vehicle_count,0.0293934462805824,0.569142636114232
IMD_score,-0.117921171930324,0.0213164246579935
housing_price_log,-0.218438261399203,9.22873918544963e-06
pop_den_log,-0.133580433376122,0.00863335858316132
lu_undeveloped_land,-0.150252938379065,0.00322513779349535
lu_vacant,-0.150256059822774,0.0032242771089774
poi_log,0.0298826566972136,0.546913949817423
slope,-0.0356882651033962,0.488055170052279
