"variable","point_estimate","p_value"
year,-0.185454774821224,NA
ss_bicycle,-0.179191018380382,0
ss_building,-0.356648318146135,0
ss_bus,-0.159734431532841,0
ss_car,-0.207201531340809,0
ss_fence,-0.186060661612168,0
ss_motorcycle,-0.202646331379992,0
ss_person,-0.112694767673639,0
ss_pole,-0.150881682131972,0
ss_rider,-0.18394582876539,0
ss_road,-0.254986219067155,0
ss_sidewalk,-0.194824822116363,0
ss_sky,-0.465055956667921,0
ss_terrain,0.172665824339152,0
ss_traffic.light,-0.158557301803297,0
ss_traffic.sign,-0.204332924284941,0
ss_train,-0.192849584512879,0
ss_truck,-0.187101340200829,0
ss_wall,-0.191398529029173,0
ss_visual_complexity,-0.317138070266424,0
od_person_count,0.125725440302881,0
od_bicycle_count,-0.164161808073173,0
od_vehicle_count,-0.141670626379356,0
all_ages,-0.204153186045844,NA
IMD_score,-0.179418521022737,0
housing_price,-0.217914006228589,NaN
pop_den,-0.205638186508978,NA
poi,-0.153403533170841,0
slope,-0.198780611294472,0
