"","variable","point_estimate","p_value"
"1",bicycle,-0.89063185494881,NA
"2",building,0.565969738013167,1.00924544454809e-14
"3",bus,0.799230970892553,1.63009236913087e-27
"4",car,0.781108480473328,2.79705031306218e-26
"5",fence,0.815868236066161,2.14333630767243e-28
"6",motorcycle,0.811733900872638,4.1254301721691e-28
"7",pole,1.01826040029629,7.64700633300004e-41
"8",rider,1.05236171455393,6.32810211531401e-44
"9",road,1.77764359413575,6.10479200860573e-124
"10",sidewalk,1.71053966208845,1.60415965265093e-129
"11",sky,-1.57055584958553,1.92163830388165e-43
"12",terrain,-1.78449237278002,8.52574402170042e-54
"13",traffic.light,-1.75417238292356,6.72141698166686e-52
"14",traffic.sign,-1.71271037056392,2.81688959579e-49
"15",train,-1.68802336857727,1.46945939253588e-47
"16",truck,-1.30663620574872,4.29388153600333e-27
"17",wall,-1.1501616592006,4.60585376537697e-19
"18",visual_complexity,-1.1515492272202,3.57808506049771e-19
"19",person_count,-0.241236948016986,0.0678434601963771
"20",bicycle_count,-0.253350057427635,0.0548036961174731
"21",vehicle_count,-0.16279382587165,0.219631080507861
"22",IMD_score,-0.0840555593406984,0.525072596807664
"23",poi,0.168586466259279,0.20308579848595
"24",slope,0.4254993821703,0.00126182569969026
