"","variable","point_estimate","p_value"
"1",bicycle,-0.819622622220548,NA
"2",building,-0.0794664663701443,NA
"3",bus,0.135238826368735,NA
"4",car,0.122618900770976,NA
"5",fence,0.121751261968935,NA
"6",motorcycle,0.11934961411075,NA
"7",pole,0.298497167708684,NA
"8",rider,0.325115813013901,NA
"9",road,1.2572553955108,NA
"10",sidewalk,1.28884251159031,NA
"11",sky,-1.39186882541794,NA
"12",terrain,-1.4317194816889,NA
"13",traffic.light,-1.38576520095677,NA
"14",traffic.sign,-1.36350452615527,NA
"15",train,-1.34957531493612,NA
"16",truck,-1.0850328149152,NA
"17",wall,-1.06664338887035,NA
"18",visual_complexity,-1.33471605771019,NA
"19",person_count,-0.491310314053922,NA
"20",bicycle_count,-0.480561092609914,NA
"21",vehicle_count,-0.409854938727441,NA
"22",IMD_score,-0.353616112698383,NA
"23",poi,-0.295879832084718,NA
"24",slope,-0.23988564795563,NA
